"dtime per day","Average latency (ms)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","2,051.3"
"2011-02-02","2,090.953"
"2011-02-03","2,084.816"
"2011-02-04","1,980.003"
"2011-02-05","1,916.539"
"2011-02-06","1,929.666"
"2011-02-07","2,087.61"
"2011-02-08","2,062.212"
"2011-02-09","2,047.424"
"2011-02-10","2,053.038"
"2011-02-11","2,064.866"
"2011-02-12","1,993.388"
"2011-02-13","1,850.711"
"2011-02-14","2,024.02"
"2011-02-15","2,136.97"
"2011-02-16","2,049.444"
"2011-02-17","2,084.925"
"2011-02-18","2,090.88"
"2011-02-19","2,090.674"
"2011-02-20","2,101.876"
"2011-02-21","2,118.162"
"2011-02-22","2,136.178"
"2011-02-23","2,006.851"
"2011-02-24","2,079.479"
"2011-02-25","2,118"
"2011-02-26","2,124.337"
"2011-02-27","2,295.968"
"2011-02-28","2,302.664"
"2011-03-01","2,234.845"
"2011-03-02","2,259.135"
"2011-03-03","2,104.218"
"2011-03-04","2,126.416"
"2011-03-05","2,187.766"
"2011-03-06","2,075.131"
"2011-03-07","2,083.209"
"2011-03-08","2,146.522"
"2011-03-09","2,164.005"
"2011-03-10","2,323.633"
"2011-03-11","2,364.225"
"2011-03-12","2,363.032"
"2011-03-13","2,483.083"
"2011-03-14","2,370.553"
"2011-03-15","2,340.635"
"2011-03-16","2,141.953"
"2011-03-17","2,151.619"
"2011-03-18","2,335.882"
"2011-03-19","2,338.341"
"2011-03-20","2,299.499"
"2011-03-21","2,279.14"
"2011-03-22","2,277.152"
"2011-03-23","2,319.218"
"2011-03-24","2,151.132"
"2011-03-25","2,133.415"
"2011-03-26","2,001.991"
