"dtime per day","Average speed (Mbps)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","3.227"
"2011-02-02","3.31"
"2011-02-03","3.304"
"2011-02-04","3.256"
"2011-02-05","3.199"
"2011-02-06","3.131"
"2011-02-07","3.268"
"2011-02-08","3.252"
"2011-02-09","3.31"
"2011-02-10","3.295"
"2011-02-11","3.292"
"2011-02-12","3.204"
"2011-02-13","3.281"
"2011-02-14","3.248"
"2011-02-15","3.332"
"2011-02-16","3.381"
"2011-02-17","3.355"
"2011-02-18","3.329"
"2011-02-19","3.312"
"2011-02-20","3.22"
"2011-02-21","3.283"
"2011-02-22","3.269"
"2011-02-23","3.103"
"2011-02-24","2.977"
"2011-02-25","2.916"
"2011-02-26","3.013"
"2011-02-27","3.084"
"2011-02-28","3.056"
"2011-03-01","3.034"
"2011-03-02","3.009"
"2011-03-03","3.044"
"2011-03-04","3.052"
"2011-03-05","3.088"
"2011-03-06","3.099"
"2011-03-07","3.082"
"2011-03-08","3.037"
"2011-03-09","3.08"
"2011-03-10","3.03"
"2011-03-11","3.006"
"2011-03-12","3.006"
"2011-03-13","2.991"
"2011-03-14","3.015"
"2011-03-15","3.014"
"2011-03-16","2.925"
"2011-03-17","2.89"
"2011-03-18","2.873"
"2011-03-19","2.891"
"2011-03-20","2.888"
"2011-03-21","2.876"
"2011-03-22","2.865"
"2011-03-23","2.878"
"2011-03-24","2.986"
"2011-03-25","2.981"
"2011-03-26","2.9"
"2011-03-27","2.937"
"2011-03-28","2.944"
"2011-03-29","2.978"
"2011-03-30","2.996"
"2011-03-31","3.022"
"2011-04-01","2.978"
"2011-04-02","3.056"
"2011-04-03","3.052"
