"dtime per day","Average latency (ms)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","49.037"
"2011-02-02","50.48"
"2011-02-03","47.703"
"2011-02-04","47.688"
"2011-02-05","49.393"
"2011-02-06","47.823"
"2011-02-07","45.535"
"2011-02-08","46.667"
"2011-02-09","47.145"
"2011-02-10","46.543"
"2011-02-11","47.418"
"2011-02-12","48.718"
"2011-02-13","48.085"
"2011-02-14","47.738"
"2011-02-15","46.747"
"2011-02-16","46.493"
"2011-02-17","46.694"
"2011-02-18","45.623"
"2011-02-19","46.054"
"2011-02-20","49.59"
"2011-02-21","49.214"
"2011-02-22","47.417"
"2011-02-23","46.679"
"2011-02-24","46.545"
"2011-02-25","46.166"
"2011-02-26","48.826"
"2011-02-27","47.85"
"2011-02-28","47.081"
"2011-03-01","45.865"
"2011-03-02","45.277"
"2011-03-03","45.367"
"2011-03-04","47.714"
"2011-03-05","47.269"
"2011-03-06","47.228"
"2011-03-07","46.671"
"2011-03-08","45.747"
"2011-03-09","45.293"
"2011-03-10","45.229"
"2011-03-11","46.06"
"2011-03-12","46.523"
"2011-03-13","47.184"
"2011-03-14","47.47"
"2011-03-15","47.585"
"2011-03-16","46.228"
"2011-03-17","46.245"
"2011-03-18","45.284"
"2011-03-19","46.794"
"2011-03-20","46.776"
"2011-03-21","48.145"
"2011-03-22","46.219"
"2011-03-23","46.337"
"2011-03-24","46.136"
"2011-03-25","46.443"
"2011-03-26","49.604"
"2011-03-27","48.168"
"2011-03-28","46.95"
"2011-03-29","45.67"
"2011-03-30","45.992"
"2011-03-31","45.888"
"2011-04-01","44.953"
"2011-04-02","47.228"
"2011-04-03","46.562"
