"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","5.453"
"2011-02-07","5.357"
"2011-02-14","5.398"
"2011-02-21","5.301"
"2011-02-28","5.199"
"2011-03-07","5.082"
"2011-03-14","4.926"
"2011-03-21","4.952"
"2011-03-28","5.017"
"2011-04-04",5
"2011-04-11","5.026"
"2011-04-18","5.06"
"2011-04-25","5.138"
"2011-05-02","5.126"
"2011-05-09","5.181"
"2011-05-16","5.118"
"2011-05-23","5.165"
"2011-05-30","5.182"
"2011-06-06","5.2"
"2011-06-13","5.242"
"2011-06-20","5.302"
"2011-06-27","5.23"
"2011-07-04","5.109"
"2011-07-11","5.176"
"2011-07-18","5.228"
"2011-07-25","5.155"
"2011-08-01","5.137"
"2011-08-08","5.161"
"2011-08-15","5.177"
"2011-08-22","5.175"
"2011-08-29","5.135"
"2011-09-05","5.119"
"2011-09-12","5.225"
"2011-09-19","5.267"
"2011-09-26","5.244"
"2011-10-03","5.222"
"2011-10-10","5.248"
"2011-10-17","5.31"
"2011-10-24","5.342"
"2011-10-31","5.372"
"2011-11-07","5.417"
"2011-11-14","5.469"
"2011-11-21","5.502"
"2011-11-28","5.452"
"2011-12-05","5.467"
"2011-12-12","5.483"
"2011-12-19","5.542"
"2011-12-26","5.596"
"2012-01-02","5.382"
"2012-01-09","5.373"
"2012-01-16","5.381"
"2012-01-23","5.446"
"2012-01-30","5.512"
"2012-02-06","5.497"
"2012-02-13","5.503"
"2012-02-20","5.582"
"2012-02-27","5.613"
"2012-03-05","5.489"
"2012-03-12","5.293"
"2012-03-19","5.216"
"2012-03-26","5.202"
"2012-04-02","5.168"
"2012-04-09","5.108"
"2012-04-16","5.202"
"2012-04-23","5.414"
"2012-04-30","5.503"
"2012-05-07","5.496"
"2012-05-14","5.556"
"2012-05-21","5.559"
"2012-05-28","5.539"
"2012-06-04","5.55"
"2012-06-11","5.547"
"2012-06-18","5.536"
"2012-06-25","5.592"
"2012-07-02","5.584"
"2012-07-09","5.577"
"2012-07-16","5.573"
"2012-07-23","5.631"
"2012-07-30","5.671"
"2012-08-06","5.711"
"2012-08-13","5.682"
"2012-08-20","5.707"
"2012-08-27","5.771"
"2012-09-03","5.738"
"2012-09-10","6.18"
"2012-09-17","6.231"
"2012-09-24","6.491"
"2012-10-01","6.542"
"2012-10-08","6.571"
"2012-10-15","6.599"
"2012-10-22","6.644"
"2012-10-29","6.679"
"2012-11-05","6.705"
"2012-11-12","6.606"
"2012-11-19","6.667"
"2012-11-26","7.372"
"2012-12-03","7.527"
"2012-12-10","7.493"
"2012-12-17","7.457"
"2012-12-24","7.486"
"2012-12-31","7.216"
"2013-01-07","7.286"
"2013-01-14","7.411"
"2013-01-21","7.456"
"2013-01-28","7.539"
"2013-02-04","7.475"
"2013-02-11","7.462"
"2013-02-18","7.547"
"2013-02-25","7.579"
"2013-03-04","7.617"
"2013-03-11","7.602"
"2013-03-18","7.583"
"2013-03-25","7.611"
"2013-04-01","7.709"
"2013-04-08","7.656"
"2013-04-15","7.706"
"2013-04-22","7.673"
"2013-04-29","7.672"
"2013-05-06","7.681"
"2013-05-13","7.778"
"2013-05-20","7.833"
"2013-05-27","7.842"
"2013-06-03","7.805"
"2013-06-10","7.809"
"2013-06-17","8.042"
"2013-06-24","8.121"
"2013-07-01","8.129"
"2013-07-08","8.089"
"2013-07-15","8.249"
"2013-07-22","8.221"
"2013-07-29","8.282"
"2013-08-05","8.395"
"2013-08-12","8.61"
"2013-08-19","8.65"
"2013-08-26","8.705"
"2013-09-02","8.58"
"2013-09-09","8.712"
"2013-09-16","9.104"
"2013-09-23","9.609"
"2013-09-30","9.66"
"2013-10-07","9.726"
"2013-10-14","9.863"
"2013-10-21","9.813"
"2013-10-28","9.918"
"2013-11-04","10.1"
"2013-11-11","10.163"
"2013-11-18","10.222"
"2013-11-25","10.308"
"2013-12-02","10.165"
"2013-12-09","10.177"
"2013-12-16","10.311"
"2013-12-23","10.29"
"2013-12-30","10.097"
"2014-01-06","10.015"
"2014-01-13","10.066"
"2014-01-20","10.005"
"2014-01-27","10.096"
"2014-02-03","10.139"
"2014-02-10","10.221"
"2014-02-17","10.252"
"2014-02-24","10.288"
"2014-03-03","10.443"
"2014-03-10","10.536"
"2014-03-17","10.591"
"2014-03-24","10.719"
"2014-03-31","10.562"
"2014-04-07","10.575"
"2014-04-14","10.635"
