"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","19.694"
"2011-02-07","19.688"
"2011-02-14","20.066"
"2011-02-21","19.66"
"2011-02-28","19.527"
"2011-03-07","19.388"
"2011-03-14","19.047"
"2011-03-21","19.017"
"2011-03-28","19.135"
"2011-04-04","19.12"
"2011-04-11","19.264"
"2011-04-18","19.193"
"2011-04-25","19.19"
"2011-05-02","19.482"
"2011-05-09","19.375"
"2011-05-16","19.261"
"2011-05-23","19.264"
"2011-05-30","19.132"
"2011-06-06","19.296"
"2011-06-13","19.404"
"2011-06-20","19.363"
"2011-06-27","19.604"
"2011-07-04","19.821"
"2011-07-11","19.855"
"2011-07-18","19.59"
"2011-07-25","19.626"
"2011-08-01","19.773"
"2011-08-08","19.631"
"2011-08-15","19.439"
"2011-08-22","19.48"
"2011-08-29","19.532"
"2011-09-05","19.474"
"2011-09-12","19.662"
"2011-09-19","19.59"
"2011-09-26","19.396"
"2011-10-03","19.262"
"2011-10-10","19.34"
"2011-10-17","19.403"
"2011-10-24","19.493"
"2011-10-31","19.63"
"2011-11-07","19.55"
"2011-11-14","19.664"
"2011-11-21","19.595"
"2011-11-28","19.889"
"2011-12-05","19.939"
"2011-12-12","19.83"
"2011-12-19","20.021"
"2011-12-26","19.952"
"2012-01-02","20.102"
"2012-01-09","20.14"
"2012-01-16","20.211"
"2012-01-23","19.873"
"2012-01-30","19.734"
"2012-02-06","19.598"
"2012-02-13","19.472"
"2012-02-20","19.65"
"2012-02-27","19.456"
"2012-03-05","19.06"
"2012-03-12","19.607"
"2012-03-19","20.213"
"2012-03-26","21.467"
"2012-04-02","22.129"
"2012-04-09","22.045"
"2012-04-16","22.027"
"2012-04-23","22.298"
"2012-04-30","22.403"
"2012-05-07","22.39"
"2012-05-14","22.392"
"2012-05-21","22.349"
"2012-05-28","22.373"
"2012-06-04","22.504"
"2012-06-11","22.502"
"2012-06-18","22.64"
"2012-06-25","23.275"
"2012-07-02","23.2"
"2012-07-09","23.135"
"2012-07-16","23.494"
"2012-07-23","23.611"
"2012-07-30","23.708"
"2012-08-06","23.475"
"2012-08-13","23.442"
"2012-08-20","23.566"
"2012-08-27","23.572"
"2012-09-03","23.496"
"2012-09-10","23.343"
"2012-09-17","23.638"
"2012-09-24","23.804"
"2012-10-01","23.764"
"2012-10-08","23.972"
"2012-10-15","23.981"
"2012-10-22","24.045"
"2012-10-29","23.695"
"2012-11-05","23.789"
"2012-11-12","22.914"
"2012-11-19","22.836"
"2012-11-26","23.077"
"2012-12-03","23.399"
"2012-12-10","23.289"
"2012-12-17","23.73"
"2012-12-24","24.161"
"2012-12-31","23.748"
"2013-01-07","23.297"
"2013-01-14","23.656"
"2013-01-21","23.638"
"2013-01-28","23.52"
"2013-02-04","23.577"
"2013-02-11","23.666"
"2013-02-18","23.709"
"2013-02-25","23.977"
"2013-03-04","24.101"
"2013-03-11","24.031"
"2013-03-18","24.174"
"2013-03-25","24.256"
"2013-04-01","24.202"
"2013-04-08","24.557"
"2013-04-15","24.818"
"2013-04-22","24.53"
"2013-04-29","24.647"
"2013-05-06","24.839"
"2013-05-13","24.806"
"2013-05-20","24.916"
"2013-05-27","25.019"
"2013-06-03","25.237"
"2013-06-10","25.125"
"2013-06-17","24.966"
"2013-06-24","25.213"
"2013-07-01","25.466"
"2013-07-08","25.316"
"2013-07-15","25.224"
"2013-07-22","25.168"
"2013-07-29","25.107"
"2013-08-05","25.251"
"2013-08-12","25.687"
"2013-08-19","25.961"
"2013-08-26","25.998"
"2013-09-02","25.993"
"2013-09-09","25.703"
"2013-09-16","25.175"
"2013-09-23","25.057"
"2013-09-30","25.051"
"2013-10-07","24.926"
"2013-10-14","24.683"
"2013-10-21","24.729"
"2013-10-28","24.803"
"2013-11-04","24.462"
"2013-11-11","24.567"
"2013-11-18","24.845"
"2013-11-25","25.046"
"2013-12-02","25.028"
"2013-12-09","24.937"
"2013-12-16","24.968"
"2013-12-23","24.808"
"2013-12-30","25.002"
"2014-01-06","25.11"
"2014-01-13","25.269"
"2014-01-20","25.373"
"2014-01-27","25.366"
"2014-02-03","25.07"
"2014-02-10","25.089"
"2014-02-17","25.175"
"2014-02-24","25.236"
"2014-03-03","25.497"
"2014-03-10","25.323"
"2014-03-17","25.707"
"2014-03-24","25.915"
"2014-03-31","25.947"
"2014-04-07","26.017"
"2014-04-14","26.056"
