"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","0.849"
"2011-02-07","0.838"
"2011-02-14","0.832"
"2011-02-21","0.796"
"2011-02-28","0.762"
"2011-03-07","0.747"
"2011-03-14","0.744"
"2011-03-21","0.74"
"2011-03-28","0.756"
"2011-04-04","0.747"
"2011-04-11","0.757"
"2011-04-18","0.767"
"2011-04-25","0.776"
"2011-05-02","0.771"
"2011-05-09","0.79"
"2011-05-16","0.795"
"2011-05-23","0.817"
"2011-05-30","0.809"
"2011-06-06","0.804"
"2011-06-13","0.809"
"2011-06-20","0.807"
"2011-06-27","0.8"
"2011-07-04","0.783"
"2011-07-11","0.789"
"2011-07-18","0.794"
"2011-07-25","0.777"
"2011-08-01","0.767"
"2011-08-08","0.769"
"2011-08-15","0.774"
"2011-08-22","0.757"
"2011-08-29","0.76"
"2011-09-05","0.761"
"2011-09-12","0.785"
"2011-09-19","0.796"
"2011-09-26","0.787"
"2011-10-03","0.786"
"2011-10-10","0.791"
"2011-10-17","0.795"
"2011-10-24","0.806"
"2011-10-31","0.807"
"2011-11-07","0.825"
"2011-11-14","0.851"
"2011-11-21","0.88"
"2011-11-28","0.846"
"2011-12-05","0.829"
"2011-12-12","0.833"
"2011-12-19","0.848"
"2011-12-26","0.846"
"2012-01-02","0.757"
"2012-01-09","0.756"
"2012-01-16","0.778"
"2012-01-23","0.783"
"2012-01-30","0.766"
"2012-02-06","0.769"
"2012-02-13","0.77"
"2012-02-20","0.778"
"2012-02-27","0.783"
"2012-03-05","0.769"
"2012-03-12","0.753"
"2012-03-19","0.74"
"2012-03-26","0.738"
"2012-04-02","0.739"
"2012-04-09","0.742"
"2012-04-16","0.741"
"2012-04-23","0.775"
"2012-04-30","0.801"
"2012-05-07","0.794"
"2012-05-14","0.797"
"2012-05-21","0.799"
"2012-05-28","0.802"
"2012-06-04","0.803"
"2012-06-11","0.798"
"2012-06-18","0.793"
"2012-06-25","0.8"
"2012-07-02","0.8"
"2012-07-09","0.799"
"2012-07-16","0.794"
"2012-07-23","0.805"
"2012-07-30","0.807"
"2012-08-06","0.807"
"2012-08-13","0.8"
"2012-08-20","0.808"
"2012-08-27","0.817"
"2012-09-03","0.809"
"2012-09-10","0.819"
"2012-09-17","0.813"
"2012-09-24","0.815"
"2012-10-01","0.823"
"2012-10-08","0.827"
"2012-10-15","0.826"
"2012-10-22","0.859"
"2012-10-29","0.888"
"2012-11-05","0.922"
"2012-11-12","0.933"
"2012-11-19","0.906"
"2012-11-26","0.933"
"2012-12-03","0.933"
"2012-12-10","0.907"
"2012-12-17","0.887"
"2012-12-24","0.881"
"2012-12-31","0.842"
"2013-01-07","0.832"
"2013-01-14","0.835"
"2013-01-21","0.837"
"2013-01-28","0.84"
"2013-02-04","0.844"
"2013-02-11","0.842"
"2013-02-18","0.852"
"2013-02-25","0.841"
"2013-03-04","0.845"
"2013-03-11","0.845"
"2013-03-18","0.842"
"2013-03-25","0.841"
"2013-04-01","0.821"
"2013-04-08","0.821"
"2013-04-15","0.832"
"2013-04-22","0.823"
"2013-04-29","0.832"
"2013-05-06","0.844"
"2013-05-13","0.859"
"2013-05-20","0.868"
"2013-05-27","0.893"
"2013-06-03","0.852"
"2013-06-10","0.866"
"2013-06-17","0.954"
"2013-06-24","0.965"
"2013-07-01","0.979"
"2013-07-08","0.923"
"2013-07-15","0.997"
"2013-07-22","0.99"
"2013-07-29","0.98"
"2013-08-05","0.966"
"2013-08-12","0.96"
"2013-08-19","0.961"
"2013-08-26","0.935"
"2013-09-02","0.865"
"2013-09-09","0.876"
"2013-09-16","0.886"
"2013-09-23","0.923"
"2013-09-30","0.915"
"2013-10-07","0.932"
"2013-10-14","0.943"
"2013-10-21","0.958"
"2013-10-28","0.973"
"2013-11-04","1.043"
"2013-11-11","1.051"
"2013-11-18","1.056"
"2013-11-25","1.058"
"2013-12-02","1.062"
"2013-12-09","1.059"
"2013-12-16","1.102"
"2013-12-23","1.114"
"2013-12-30","1.086"
"2014-01-06","1.071"
"2014-01-13","1.06"
"2014-01-20","1.049"
"2014-01-27","1.052"
"2014-02-03","1.044"
"2014-02-10","1.052"
"2014-02-17","1.087"
"2014-02-24","1.123"
"2014-03-03","1.186"
"2014-03-10","1.276"
"2014-03-17","1.269"
"2014-03-24","1.264"
"2014-03-31","1.195"
"2014-04-07","1.184"
"2014-04-14","1.191"
