"dtime per day","Average latency (ms)"
"2011-09-10","232.451"
"2011-09-11","231.403"
"2011-09-12","232.047"
"2011-09-13","232.862"
"2011-09-14","259.355"
"2011-09-15","280.257"
"2011-09-16","281.071"
"2011-09-17","284.416"
"2011-09-18","288.325"
"2011-09-19","284.963"
"2011-09-20","283.162"
"2011-09-21","285.823"
"2011-09-22","279.804"
"2011-09-23","281.177"
"2011-09-24","282.054"
"2011-09-25","284.878"
"2011-09-26","282.005"
"2011-09-27","282.069"
"2011-09-28","284.994"
"2011-09-29","283.073"
"2011-09-30","283.505"
"2011-10-01","283.399"
"2011-10-02","288.079"
"2011-10-03","284.969"
"2011-10-04","283.309"
"2011-10-05","283.141"
"2011-10-06","285.367"
"2011-10-07","288.28"
"2011-10-08","292.628"
"2011-10-09","290.241"
"2011-10-10","291.122"
"2011-10-11","288.288"
"2011-10-12","285.911"
"2011-10-13","278.941"
"2011-10-14","284.894"
"2011-10-15","284.157"
"2011-10-16","286.258"
"2011-10-17","287.095"
"2011-10-18","284.262"
"2011-10-19","285.377"
"2011-10-20","287.954"
"2011-10-21","286.926"
"2011-10-22","288.036"
"2011-10-23","288.573"
"2011-10-24","287.705"
"2011-10-25","288.822"
"2011-10-26","287.274"
"2011-10-27","290.179"
"2011-10-28","287.96"
"2011-10-29","293.139"
"2011-10-30","297.913"
"2011-10-31","293.327"
"2011-11-01","293.655"
"2011-11-02","292.971"
"2011-11-03","292.63"
"2011-11-04","294.209"
"2011-11-05","297.342"
"2011-11-06","298.762"
"2011-11-07","297.465"
"2011-11-08","296.196"
"2011-11-09","290.363"
"2011-11-10","295.987"
"2011-11-11","293.972"
"2011-11-12","284.505"
"2011-11-13","296.392"
"2011-11-14","294.343"
"2011-11-15","295.184"
"2011-11-16","298.823"
"2011-11-17","298.776"
"2011-11-18","300.863"
"2011-11-19","304.385"
"2011-11-20","304.994"
"2011-11-21","304.411"
"2011-11-22","303.075"
"2011-11-23","304.041"
"2011-11-24","301.968"
"2011-11-25","302.455"
"2011-11-26","304.58"
"2011-11-27","308.516"
"2011-11-28","305.955"
"2011-11-29","307.458"
"2011-11-30","307.758"
"2011-12-01","306.504"
"2011-12-02","308.579"
"2011-12-03","310.796"
"2011-12-04","314.068"
"2011-12-05","313.834"
"2011-12-06","310.028"
"2011-12-07","310.529"
"2011-12-08","305.363"
"2011-12-09","304.763"
"2011-12-10","306.096"
"2011-12-11","306.741"
"2011-12-12","302.881"
"2011-12-13","306.257"
"2011-12-14","302.18"
"2011-12-15","300.95"
"2011-12-16","300.482"
"2011-12-17","305.317"
"2011-12-18","307.805"
"2011-12-19","304.601"
"2011-12-20","304.421"
"2011-12-21","305.546"
"2011-12-22","306.663"
"2011-12-23","307.473"
"2011-12-24","304.496"
"2011-12-25","302.692"
"2011-12-26","304.498"
"2011-12-27","309.312"
"2011-12-28","314.126"
"2011-12-29","317.381"
"2011-12-30","317.603"
"2011-12-31","318.534"
"2012-01-01","334.519"
"2012-01-02","341.106"
"2012-01-03","341.934"
"2012-01-04","339.958"
"2012-01-05","336.805"
"2012-01-06","339.033"
"2012-01-07","342.346"
"2012-01-08","341.268"
"2012-01-09","339.538"
"2012-01-10","337.831"
"2012-01-11","334.614"
"2012-01-12","336.222"
"2012-01-13","337.196"
"2012-01-14","345.386"
"2012-01-15","346.858"
"2012-01-16","347.215"
"2012-01-17","344.733"
"2012-01-18","346.646"
"2012-01-19","352.658"
"2012-01-20","358.658"
"2012-01-21","373.694"
"2012-01-22","378.819"
"2012-01-23","373.768"
"2012-01-24","372.422"
"2012-01-25","373.624"
"2012-01-26","370.892"
"2012-01-27","366.793"
"2012-01-28","368.875"
"2012-01-29","364.168"
"2012-01-30","354.558"
"2012-01-31","354.439"
"2012-02-01","350.856"
"2012-02-02","351.358"
"2012-02-03","353.562"
"2012-02-04","356.879"
"2012-02-05","360.981"
"2012-02-06","353.214"
"2012-02-07","358.271"
"2012-02-08","360.367"
"2012-02-09","366.37"
"2012-02-10","365.643"
"2012-02-11","368.101"
"2012-02-12","372.906"
"2012-02-13","368.007"
"2012-02-14","362.219"
"2012-02-15","360.693"
"2012-02-16","366.53"
"2012-02-17","365.811"
"2012-02-18","370.141"
"2012-02-19","372.405"
"2012-02-20","368.902"
"2012-02-21","365.828"
"2012-02-22","367.677"
"2012-02-23","356.789"
"2012-02-24","342.895"
"2012-02-25","344.235"
"2012-02-26","348.962"
"2012-02-27","345.448"
"2012-02-28","344.989"
"2012-02-29","347.574"
"2012-03-01","349.577"
"2012-03-02","351.716"
"2012-03-03","358.531"
"2012-03-04","363.959"
"2012-03-05","358.889"
"2012-03-06","357.199"
"2012-03-07","357.02"
"2012-03-08","359.928"
"2012-03-09","362.814"
"2012-03-10","366.271"
"2012-03-11","368.873"
"2012-03-12","366.388"
"2012-03-13","365.149"
"2012-03-14","368.961"
"2012-03-15","367.671"
"2012-03-16","371.78"
"2012-03-17","373.542"
"2012-03-18","375.902"
"2012-03-19","374.625"
"2012-03-20","371.405"
"2012-03-21","373.475"
"2012-03-22","377.739"
"2012-03-23","374.143"
"2012-03-24","362.365"
"2012-03-25","367.12"
"2012-03-26","358.462"
"2012-03-27","356.705"
"2012-03-28","358.01"
"2012-03-29","358.19"
"2012-03-30","347.279"
"2012-03-31","338.966"
"2012-04-01","339.753"
"2012-04-02","338.105"
"2012-04-03","336.091"
"2012-04-04","334.685"
"2012-04-05","334.624"
"2012-04-06","334.314"
"2012-04-07","334.325"
"2012-04-08","332.468"
"2012-04-09","333.187"
"2012-04-10","329.254"
"2012-04-11","326.993"
"2012-04-12","326.158"
"2012-04-13","331.504"
"2012-04-14","336.822"
"2012-04-15","336.624"
"2012-04-16","331.128"
"2012-04-17","329.62"
"2012-04-18","326.922"
"2012-04-19","325.708"
"2012-04-20","326.303"
"2012-04-21","329.274"
"2012-04-22","331.793"
"2012-04-23","326.856"
"2012-04-24","325.019"
"2012-04-25","327.691"
"2012-04-26","326.69"
"2012-04-27","326.731"
"2012-04-28","331.546"
"2012-04-29","331.883"
"2012-04-30","329.367"
"2012-05-01","325.745"
"2012-05-02","325.822"
"2012-05-03","325.348"
"2012-05-04","323.577"
"2012-05-05","325.87"
"2012-05-06","329.124"
"2012-05-07","329.068"
"2012-05-08","328.73"
"2012-05-09","329.284"
"2012-05-10","326.061"
"2012-05-11","323.231"
"2012-05-12","322.605"
"2012-05-13","323.04"
"2012-05-14","320.542"
"2012-05-15","321.301"
"2012-05-16","320.512"
"2012-05-17","324.764"
"2012-05-18","324.43"
"2012-05-19","323.492"
"2012-05-20","327.88"
"2012-05-21","323.29"
"2012-05-22","324.851"
"2012-05-23","322.334"
"2012-05-24","323.865"
"2012-05-25","326.269"
"2012-05-26","325.118"
"2012-05-27","322.448"
"2012-05-28","324.521"
"2012-05-29","325.419"
"2012-05-30","322.016"
"2012-05-31","322.328"
"2012-06-01","323.229"
"2012-06-02","328.807"
"2012-06-03","327.451"
"2012-06-04","324.676"
"2012-06-05","324.689"
"2012-06-06","325.061"
