"dtime per day","Average latency (ms)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","47.746"
"2011-02-02","49.698"
"2011-02-03","46.744"
"2011-02-04","46.542"
"2011-02-05","48.129"
"2011-02-06","47.134"
"2011-02-07","44.707"
"2011-02-08","46.463"
"2011-02-09","46.382"
"2011-02-10","46.148"
"2011-02-11","46.299"
"2011-02-12","47.408"
"2011-02-13","47.58"
"2011-02-14","46.723"
"2011-02-15","45.682"
"2011-02-16","45.511"
"2011-02-17","45.103"
"2011-02-18","44.942"
"2011-02-19","45.522"
"2011-02-20","47.751"
"2011-02-21","48.259"
"2011-02-22","46.372"
"2011-02-23","45.024"
"2011-02-24","44.698"
"2011-02-25","44.454"
"2011-02-26","46.826"
"2011-02-27","46.087"
"2011-02-28","45.135"
"2011-03-01","43.958"
"2011-03-02","43.309"
"2011-03-03","43.333"
"2011-03-04","45.636"
"2011-03-05","45.349"
"2011-03-06","45.765"
"2011-03-07","45.397"
"2011-03-08","43.974"
"2011-03-09","43.43"
"2011-03-10","43.2"
"2011-03-11","43.93"
"2011-03-12","44.545"
"2011-03-13","45.055"
"2011-03-14","44.966"
"2011-03-15","44.804"
"2011-03-16","43.7"
"2011-03-17","43.416"
"2011-03-18","42.215"
"2011-03-19","44.001"
"2011-03-20","44.121"
"2011-03-21","45.368"
"2011-03-22","43.874"
"2011-03-23","43.684"
"2011-03-24","43.631"
"2011-03-25","43.372"
"2011-03-26","45.643"
"2011-03-27","44.947"
"2011-03-28","44.573"
"2011-03-29","43.166"
"2011-03-30","43.769"
"2011-03-31","43.635"
"2011-04-01","42.921"
"2011-04-02","44.558"
"2011-04-03","44.324"
