"dtime per day","Average speed (Mbps)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","5.449"
"2011-02-02","5.387"
"2011-02-03","5.467"
"2011-02-04","5.473"
"2011-02-05","5.466"
"2011-02-06","5.477"
"2011-02-07","5.412"
"2011-02-08","5.38"
"2011-02-09","5.387"
"2011-02-10","5.331"
"2011-02-11","5.375"
"2011-02-12","5.37"
"2011-02-13","5.233"
"2011-02-14","5.23"
"2011-02-15","5.295"
"2011-02-16","5.374"
"2011-02-17","5.409"
"2011-02-18","5.508"
"2011-02-19","5.48"
"2011-02-20","5.463"
"2011-02-21","5.428"
"2011-02-22","5.432"
"2011-02-23","5.464"
"2011-02-24","5.316"
"2011-02-25","5.293"
"2011-02-26","5.144"
"2011-02-27","5.097"
"2011-02-28","5.16"
"2011-03-01","5.293"
"2011-03-02","5.228"
"2011-03-03","5.248"
"2011-03-04","5.18"
"2011-03-05","5.133"
"2011-03-06","5.151"
"2011-03-07","5.112"
"2011-03-08","5.089"
"2011-03-09","5.097"
"2011-03-10","5.07"
"2011-03-11","5.094"
"2011-03-12","5.066"
"2011-03-13","5.058"
"2011-03-14","4.984"
"2011-03-15","4.943"
"2011-03-16","4.925"
"2011-03-17","4.905"
"2011-03-18","4.911"
"2011-03-19","4.879"
"2011-03-20","4.935"
"2011-03-21","4.941"
"2011-03-22","4.99"
"2011-03-23","5.019"
"2011-03-24","4.842"
"2011-03-25","4.889"
"2011-03-26","4.98"
"2011-03-27","4.994"
"2011-03-28","5.013"
"2011-03-29","5.014"
"2011-03-30","5.072"
"2011-03-31","5.054"
"2011-04-01","5.034"
"2011-04-02","4.97"
"2011-04-03","4.961"
