"dtime per day","Average speed (Mbps)"
"2011-01-01",null
"2011-01-02",null
"2011-01-03",null
"2011-01-04",null
"2011-01-05",null
"2011-01-06",null
"2011-01-07",null
"2011-01-08",null
"2011-01-09",null
"2011-01-10",null
"2011-01-11",null
"2011-01-12",null
"2011-01-13",null
"2011-01-14",null
"2011-01-15",null
"2011-01-16",null
"2011-01-17",null
"2011-01-18",null
"2011-01-19",null
"2011-01-20",null
"2011-01-21",null
"2011-01-22",null
"2011-01-23",null
"2011-01-24",null
"2011-01-25",null
"2011-01-26",null
"2011-01-27",null
"2011-01-28",null
"2011-01-29",null
"2011-01-30",null
"2011-01-31",null
"2011-02-01","2.242"
"2011-02-02","2.271"
"2011-02-03","2.284"
"2011-02-04","2.232"
"2011-02-05","2.225"
"2011-02-06","2.269"
"2011-02-07","2.272"
"2011-02-08","2.272"
"2011-02-09","2.275"
"2011-02-10","2.277"
"2011-02-11","2.284"
"2011-02-12","2.258"
"2011-02-13","2.267"
"2011-02-14","2.271"
"2011-02-15","2.298"
"2011-02-16","2.314"
"2011-02-17","2.319"
"2011-02-18","2.313"
"2011-02-19","2.298"
"2011-02-20","2.273"
"2011-02-21","2.309"
"2011-02-22","2.297"
"2011-02-23","2.306"
"2011-02-24","2.267"
"2011-02-25","2.227"
"2011-02-26","2.228"
"2011-02-27","2.193"
"2011-02-28","2.186"
"2011-03-01","2.164"
"2011-03-02","2.158"
"2011-03-03","2.161"
"2011-03-04","2.151"
"2011-03-05","2.178"
"2011-03-06","2.144"
"2011-03-07","2.154"
"2011-03-08","2.136"
"2011-03-09","2.138"
"2011-03-10","2.169"
"2011-03-11","2.171"
"2011-03-12","2.158"
"2011-03-13","2.155"
"2011-03-14","2.149"
"2011-03-15","2.146"
"2011-03-16","2.109"
"2011-03-17","2.09"
"2011-03-18","2.121"
"2011-03-19","2.16"
"2011-03-20","2.151"
"2011-03-21","2.15"
"2011-03-22","2.151"
"2011-03-23","2.139"
"2011-03-24","2.142"
"2011-03-25","2.155"
"2011-03-26","2.164"
"2011-03-27","2.169"
"2011-03-28","2.161"
"2011-03-29","2.182"
"2011-03-30","2.164"
"2011-03-31","2.178"
"2011-04-01","2.177"
"2011-04-02","2.192"
"2011-04-03","2.19"
