"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","13.265"
"2011-03-01","12.779"
"2011-04-01","12.853"
"2011-05-01","13.024"
"2011-06-01","13.201"
"2011-07-01","13.328"
"2011-08-01","13.33"
"2011-09-01","13.875"
"2011-10-01","14.386"
"2011-11-01","14.694"
"2011-12-01","15.144"
"2012-01-01","15.14"
"2012-02-01","15.514"
"2012-03-01","15.824"
"2012-04-01","16.399"
"2012-05-01","16.7"
"2012-06-01",17
"2012-07-01","17.18"
"2012-08-01","17.592"
"2012-09-01","18.421"
"2012-10-01","19.203"
"2012-11-01","19.387"
"2012-12-01","20.147"
"2013-01-01","20.284"
"2013-02-01","20.861"
"2013-03-01","21.356"
"2013-04-01","22.427"
"2013-05-01","22.793"
"2013-06-01","23.087"
"2013-07-01","23.933"
"2013-08-01","24.788"
"2013-09-01","25.993"
"2013-10-01","26.602"
"2013-11-01","27.005"
"2013-12-01","27.148"
"2014-01-01","27.225"
"2014-02-01","27.523"
"2014-03-01","27.736"
"2014-04-01","28.685"
"2014-05-01","29.739"
"2014-06-01","29.056"
"2014-07-01","28.864"
"2014-08-01","30.8"
"2014-09-01","31.915"
"2014-10-01","32.902"
"2014-11-01","33.849"
"2014-12-01","34.288"
"2015-01-01","36.582"
"2015-02-01","36.962"
"2015-03-01","37.553"
"2015-04-01","38.137"
"2015-05-01","39.121"
"2015-06-01","39.619"
"2015-07-01","41.305"
"2015-08-01","43.039"
"2015-09-01","46.948"
"2015-10-01","48.082"
"2015-11-01","49.031"
"2015-12-01","49.363"
"2016-01-01","45.331"
"2016-02-01","45.903"
"2016-03-01","46.165"
"2016-04-01","46.876"
"2016-05-01","47.438"
"2016-06-01","48.539"
"2016-07-01","48.539"
"2016-08-01","48.573"
"2016-09-01","48.647"
"2016-10-01","48.613"
"2016-11-01","50.294"
"2016-12-01","50.714"
"2017-01-01","56.461"
"2017-02-01","56.956"
"2017-03-01","58.013"
"2017-04-01","58.661"
"2017-05-01","60.393"
"2017-06-01","61.26"
"2017-07-01","61.884"
"2017-08-01","60.889"
"2017-09-01","61.946"
"2017-10-01","62.457"
"2017-11-01","63.729"
"2017-12-01","65.293"
"2018-01-01","69.715"
"2018-02-01","71.919"
"2018-03-01","73.227"
"2018-04-01","74.704"
"2018-05-01","77.662"
"2018-06-01","79.79"
"2018-07-01","82.376"
"2018-08-01","85.586"
"2018-09-01","88.186"
"2018-10-01","90.943"
"2018-11-01","92.575"
"2018-12-01","92.701"
"2019-01-01","93.571"
"2019-02-01","95.228"
"2019-03-01","97.683"
"2019-04-01","100.098"
"2019-05-01","105.226"
"2019-06-01","110.919"
"2019-07-01","116.027"
"2019-08-01","120.816"
"2019-09-01","122.823"
"2019-10-01","125.263"
"2019-11-01","126.739"
"2019-12-01","124.749"
"2020-01-01","122.569"
"2020-02-01","124.282"
"2020-03-01","125.634"
"2020-04-01","127.303"
"2020-05-01","131.1"
"2020-06-01","135.607"
"2020-07-01","141.967"
"2020-08-01","155.605"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","146.561"
"2020-12-01","150.643"
"2021-01-01","152.47"
"2021-02-01","160.606"
"2021-03-01","159.733"
"2021-04-01","173.895"
"2021-05-01","180.013"
"2021-06-01","186.775"
"2021-07-01","192.281"
"2021-08-01","200.59"
"2021-09-01","202.956"
"2021-10-01","207.376"
"2021-11-01","216.421"
"2021-12-01","225.793"
"2022-01-01","226.619"
"2022-02-01","228.193"
"2022-03-01","234.549"
"2022-04-01","240.523"
"2022-05-01","244.989"
"2022-06-01","248.401"
"2022-07-01","254.481"
"2022-08-01","256.339"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","253.527"
"2022-12-01","260.061"
"2023-01-01","265.832"
"2023-02-01","271.169"
"2023-03-01",null
"2023-04-01","288.538"
"2023-05-01","317.928"
"2023-06-01","259.856"
"2023-07-01","286.494"
