"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2022-02-01","83.98%","11.60%","4.42%"
"2022-03-01","83.71%","11.95%","4.33%"
"2022-04-01","84.11%","11.21%","4.67%"
"2022-05-01","83.83%","11.21%","4.95%"
"2022-06-01","83.21%","11.49%","5.30%"
"2022-07-01","83.71%","11.27%","5.02%"
"2022-08-01","83.70%","11.22%","5.08%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","83.82%","10.65%","5.53%"
"2022-12-01","84.52%","10.30%","5.18%"
"2023-01-01","85.11%","10.03%","4.86%"
"2023-02-01","85.25%","9.68%","5.07%"
"2023-03-01",null,null,null
"2023-04-01","87.60%","8.09%","4.31%"
"2023-05-01","87.85%","8.17%","3.99%"
"2023-06-01","84.48%","10.59%","4.93%"
"2023-07-01","86.09%","9.18%","4.72%"
