"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","26.34"
"2011-03-01","25.642"
"2011-04-01","25.216"
"2011-05-01","25.493"
"2011-06-01","25.424"
"2011-07-01","25.67"
"2011-08-01","25.443"
"2011-09-01","25.879"
"2011-10-01","26.398"
"2011-11-01","26.718"
"2011-12-01","26.998"
"2012-01-01","27.069"
"2012-02-01","26.73"
"2012-03-01","27.528"
"2012-04-01","28.979"
"2012-05-01","29.175"
"2012-06-01","29.82"
"2012-07-01","31.791"
"2012-08-01","32.843"
"2012-09-01","33.899"
"2012-10-01","35.49"
"2012-11-01","36.114"
"2012-12-01","36.955"
"2013-01-01","36.781"
"2013-02-01","37.417"
"2013-03-01","38.335"
"2013-04-01","39.173"
"2013-05-01","37.923"
"2013-06-01","38.495"
"2013-07-01","40.379"
"2013-08-01","41.126"
"2013-09-01","42.635"
"2013-10-01","42.127"
"2013-11-01","42.328"
"2013-12-01","42.732"
"2014-01-01","43.489"
"2014-02-01","42.761"
"2014-03-01","43.17"
"2014-04-01","43.782"
"2014-05-01","44.79"
"2014-06-01","45.098"
"2014-07-01","44.831"
"2014-08-01","44.824"
"2014-09-01","43.918"
"2014-10-01","45.062"
"2014-11-01","46.092"
"2014-12-01","46.807"
"2015-01-01","47.219"
"2015-02-01","46.905"
"2015-03-01","47.215"
"2015-04-01","48.716"
"2015-05-01","49.715"
"2015-06-01","50.036"
"2015-07-01","49.849"
"2015-08-01","49.926"
"2015-09-01","50.35"
"2015-10-01","50.464"
"2015-11-01","50.792"
"2015-12-01","50.899"
"2016-01-01","50.727"
"2016-02-01","52.665"
"2016-03-01","53.23"
"2016-04-01","53.536"
"2016-05-01","54.451"
"2016-06-01","56.14"
"2016-07-01","55.537"
"2016-08-01","55.852"
"2016-09-01","59.77"
"2016-10-01","60.946"
"2016-11-01","62.224"
"2016-12-01","62.36"
"2017-01-01","59.785"
"2017-02-01","59.112"
"2017-03-01","59.171"
"2017-04-01","60.334"
"2017-05-01","63.234"
"2017-06-01","65.338"
"2017-07-01","69.82"
"2017-08-01","72.618"
"2017-09-01","75.137"
"2017-10-01","76.863"
"2017-11-01","79.515"
"2017-12-01","85.055"
"2018-01-01","92.08"
"2018-02-01","94.121"
"2018-03-01","95.452"
"2018-04-01","96.239"
"2018-05-01","97.773"
"2018-06-01","100.657"
"2018-07-01","101.297"
"2018-08-01","112.42"
"2018-09-01","136.501"
"2018-10-01","145.788"
"2018-11-01","150.669"
"2018-12-01","150.384"
"2019-01-01","148.599"
"2019-02-01","153.618"
"2019-03-01","160.292"
"2019-04-01","166.909"
"2019-05-01","178.649"
"2019-06-01","186.414"
"2019-07-01","186.646"
"2019-08-01","195.737"
"2019-09-01","200.026"
"2019-10-01","201.224"
"2019-11-01","201.08"
"2019-12-01","198.706"
"2020-01-01","174.32"
"2020-02-01","180.329"
"2020-03-01","183.118"
"2020-04-01","182.885"
"2020-05-01","191.772"
"2020-06-01","202.97"
"2020-07-01","208.892"
"2020-08-01","239.755"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","270.886"
"2020-12-01","272.214"
"2021-01-01","245.044"
"2021-02-01","259.982"
"2021-03-01","253.739"
"2021-04-01","273.839"
"2021-05-01","273.823"
"2021-06-01","321.622"
"2021-07-01","329.72"
"2021-08-01","328.984"
"2021-09-01","334.792"
"2021-10-01","344.745"
"2021-11-01","360.174"
"2021-12-01","386.006"
"2022-01-01","388.169"
"2022-02-01","391.288"
"2022-03-01","398.076"
"2022-04-01","404.318"
"2022-05-01","404.256"
"2022-06-01","405.254"
"2022-07-01","413.237"
"2022-08-01","416.728"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","416.092"
"2022-12-01","421.191"
"2023-01-01","423.51"
"2023-02-01","423.691"
"2023-03-01",null
"2023-04-01","449.663"
"2023-05-01","517.023"
"2023-06-01","419.06"
"2023-07-01","446.817"
