"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","94.45%","4.86%","0.68%"
"2011-03-01","94.49%","4.81%","0.70%"
"2011-04-01","94.82%","4.49%","0.69%"
"2011-05-01","95.15%","4.09%","0.76%"
"2011-06-01","95.40%","3.97%","0.63%"
"2011-07-01","95.30%","4.11%","0.59%"
"2011-08-01","95.13%","4.21%","0.66%"
"2011-09-01","95.68%","3.75%","0.57%"
"2011-10-01","95.06%","4.18%","0.76%"
"2011-11-01","94.85%","4.63%","0.52%"
"2011-12-01","91.52%","7.47%","1.00%"
"2012-01-01","89.00%","8.88%","2.12%"
"2012-02-01","84.95%","12.85%","2.20%"
"2012-03-01","85.33%","12.51%","2.16%"
"2012-04-01","94.06%","5.08%","0.87%"
"2012-05-01","94.38%","4.93%","0.69%"
"2012-06-01","93.90%","5.33%","0.77%"
"2012-07-01","94.11%","5.20%","0.69%"
"2012-08-01","94.39%","4.90%","0.71%"
"2012-09-01","93.92%","5.34%","0.74%"
"2012-10-01","94.34%","4.94%","0.72%"
"2012-11-01","94.28%","4.94%","0.78%"
"2012-12-01","94.19%","5.04%","0.77%"
"2013-01-01","93.59%","5.49%","0.93%"
"2013-02-01","93.76%","5.36%","0.88%"
"2013-03-01","93.96%","5.14%","0.90%"
"2013-04-01","94.65%","4.57%","0.78%"
"2013-05-01","94.63%","4.60%","0.78%"
"2013-06-01","94.79%","4.44%","0.78%"
"2013-07-01","94.35%","4.86%","0.79%"
"2013-08-01","94.52%","4.63%","0.85%"
"2013-09-01","94.44%","4.59%","0.96%"
"2013-10-01","95.13%","4.18%","0.69%"
"2013-11-01","94.88%","4.40%","0.73%"
"2013-12-01","94.26%","4.88%","0.86%"
"2014-01-01","93.50%","5.57%","0.93%"
"2014-02-01","94.08%","5.10%","0.82%"
"2014-03-01","94.60%","4.64%","0.76%"
"2014-04-01","94.76%","4.54%","0.70%"
"2014-05-01","95.27%","4.04%","0.69%"
"2014-06-01","94.98%","4.28%","0.75%"
"2014-07-01","95.20%","4.08%","0.72%"
"2014-08-01","95.80%","3.60%","0.60%"
"2014-09-01","95.55%","3.84%","0.61%"
"2014-10-01","95.47%","3.94%","0.59%"
"2014-11-01","95.64%","3.75%","0.60%"
"2014-12-01","95.68%","3.69%","0.62%"
"2015-01-01","95.24%","4.10%","0.66%"
"2015-02-01","94.90%","4.41%","0.69%"
"2015-03-01","94.56%","4.67%","0.77%"
"2015-04-01","94.65%","4.60%","0.75%"
"2015-05-01","94.90%","4.38%","0.72%"
"2015-06-01","95.24%","4.10%","0.66%"
"2015-07-01","95.17%","4.23%","0.60%"
"2015-08-01","95.03%","4.36%","0.61%"
"2015-09-01","94.69%","4.63%","0.68%"
"2015-10-01","94.45%","4.86%","0.69%"
"2015-11-01","94.19%","5.09%","0.72%"
"2015-12-01","93.95%","5.32%","0.73%"
"2016-01-01","93.64%","5.54%","0.82%"
"2016-02-01","94.03%","5.17%","0.80%"
"2016-03-01","94.22%","5.03%","0.75%"
"2016-04-01","94.31%","5.00%","0.69%"
"2016-05-01","93.70%","5.59%","0.71%"
"2016-06-01","93.44%","5.83%","0.73%"
"2016-07-01","93.30%","5.94%","0.76%"
"2016-08-01","93.11%","6.10%","0.79%"
"2016-09-01","92.90%","6.27%","0.83%"
"2016-10-01","92.38%","6.77%","0.85%"
"2016-11-01","92.02%","7.11%","0.87%"
"2016-12-01","92.07%","7.05%","0.89%"
"2017-01-01","92.10%","7.10%","0.79%"
"2017-02-01","92.02%","7.20%","0.78%"
"2017-03-01","91.29%","7.96%","0.75%"
"2017-04-01","90.56%","8.67%","0.77%"
"2017-05-01","91.03%","8.24%","0.73%"
"2017-06-01","90.41%","8.80%","0.79%"
"2017-07-01","90.12%","9.07%","0.80%"
"2017-08-01","90.13%","9.02%","0.85%"
