"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","1,360.231"
"2011-03-01","1,391.206"
"2011-04-01","1,413.335"
"2011-05-01","1,434.705"
"2011-06-01","1,462.314"
"2011-07-01","1,443.544"
"2011-08-01","1,382.098"
"2011-09-01","1,075.475"
"2011-10-01","956.402"
"2011-11-01","947.106"
"2011-12-01","907.191"
"2012-01-01","928.172"
"2012-02-01","923.516"
"2012-03-01","914.801"
"2012-04-01","874.485"
"2012-05-01","867.055"
"2012-06-01","860.855"
"2012-07-01","864.398"
"2012-08-01","861.931"
"2012-09-01","857.771"
"2012-10-01","847.333"
"2012-11-01","836.605"
"2012-12-01","851.188"
"2013-01-01","813.717"
"2013-02-01","804.474"
"2013-03-01","788.33"
"2013-04-01","756.989"
"2013-05-01","734.858"
"2013-06-01","732.137"
"2013-07-01","715.795"
"2013-08-01","697.348"
"2013-09-01","691.453"
"2013-10-01","681.398"
"2013-11-01","678.025"
"2013-12-01","674.153"
"2014-01-01","668.755"
"2014-02-01","673.841"
"2014-03-01","662.321"
"2014-04-01","657.516"
"2014-05-01","650.755"
"2014-06-01","645.985"
"2014-07-01","642.214"
"2014-08-01","618.303"
"2014-09-01","623.976"
"2014-10-01","618.246"
"2014-11-01","611.287"
"2014-12-01","605.291"
"2015-01-01","598.741"
"2015-02-01","603.598"
"2015-03-01","604.377"
"2015-04-01","599.15"
"2015-05-01","593.582"
"2015-06-01","590.417"
"2015-07-01","575.771"
"2015-08-01","566.394"
"2015-09-01","546.855"
"2015-10-01","537.96"
"2015-11-01","539.581"
"2015-12-01","538.852"
"2016-01-01","545.657"
"2016-02-01","537.075"
"2016-03-01","532.976"
"2016-04-01","537.633"
"2016-05-01","539.057"
"2016-06-01","533.832"
"2016-07-01",null
"2016-08-01","531.918"
"2016-09-01","513.112"
"2016-10-01","510.282"
"2016-11-01","498.005"
"2016-12-01","495.683"
"2017-01-01","467.067"
"2017-02-01","468.941"
"2017-03-01","464.073"
"2017-04-01","457.544"
"2017-05-01","442.829"
"2017-06-01","431.252"
"2017-07-01","437.647"
"2017-08-01","438.785"
"2017-09-01","419.166"
"2017-10-01","412.513"
"2017-11-01","412.414"
"2017-12-01","406.515"
"2018-01-01","395.416"
"2018-02-01","390.243"
"2018-03-01","386.217"
"2018-04-01","384.811"
"2018-05-01","382.832"
"2018-06-01","371.499"
"2018-07-01","372.443"
"2018-08-01","364.397"
"2018-09-01","343.843"
"2018-10-01","341.446"
"2018-11-01","335.664"
"2018-12-01","334.252"
"2019-01-01","335.489"
"2019-02-01","336.802"
"2019-03-01","335.471"
"2019-04-01","331.688"
"2019-05-01","330.035"
"2019-06-01","317.43"
"2019-07-01","314.087"
"2019-08-01","306.896"
"2019-09-01","307.576"
"2019-10-01","305.253"
"2019-11-01","295.688"
"2019-12-01","311.028"
"2020-01-01",null
"2020-02-01","344.379"
"2020-03-01","348.076"
"2020-04-01","349.407"
"2020-05-01","344.894"
"2020-06-01","345.309"
"2020-07-01","337.201"
"2020-08-01","340.432"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","381.495"
"2020-12-01","387.939"
"2021-01-01","376.882"
"2021-02-01","371.729"
"2021-03-01","366.736"
"2021-04-01","379.902"
"2021-05-01","334.522"
"2021-06-01","322.873"
"2021-07-01","317.472"
"2021-08-01","313.559"
"2021-09-01","313.041"
"2021-10-01","315.02"
"2021-11-01","308.745"
"2021-12-01","302.302"
"2022-01-01","299.221"
"2022-02-01","294.029"
"2022-03-01","290.932"
"2022-04-01","288.165"
"2022-05-01","280.406"
"2022-06-01","277.689"
"2022-07-01","274.943"
"2022-08-01","273.076"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","277.634"
"2022-12-01","275.539"
"2023-01-01","270.111"
"2023-02-01","262.221"
"2023-03-01",null
"2023-04-01","229.87"
"2023-05-01","231.735"
"2023-06-01","237.188"
"2023-07-01","224.777"
