"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","5.359"
"2011-03-01","5.028"
"2011-04-01","5.047"
"2011-05-01","5.149"
"2011-06-01","5.245"
"2011-07-01","5.16"
"2011-08-01","5.164"
"2011-09-01","5.198"
"2011-10-01","5.282"
"2011-11-01","5.444"
"2011-12-01","5.512"
"2012-01-01","5.403"
"2012-02-01","5.539"
"2012-03-01","5.322"
"2012-04-01","5.235"
"2012-05-01","5.527"
"2012-06-01","5.553"
"2012-07-01","5.598"
"2012-08-01","5.709"
"2012-09-01","6.112"
"2012-10-01","6.597"
"2012-11-01","6.764"
"2012-12-01","7.48"
"2013-01-01","7.37"
"2013-02-01","7.506"
"2013-03-01","7.604"
"2013-04-01","7.685"
"2013-05-01","7.769"
"2013-06-01","7.929"
"2013-07-01","8.189"
"2013-08-01","8.552"
"2013-09-01","9.027"
"2013-10-01","9.779"
"2013-11-01","10.18"
"2013-12-01","10.232"
"2014-01-01","10.047"
"2014-02-01","10.222"
"2014-03-01","10.548"
"2014-04-01","10.62"
"2014-05-01","10.778"
"2014-06-01","9.496"
"2014-07-01","9.038"
"2014-08-01","9.381"
"2014-09-01","9.668"
"2014-10-01","9.959"
"2014-11-01","10.184"
"2014-12-01","10.476"
"2015-01-01","8.392"
"2015-02-01","8.478"
"2015-03-01","8.518"
"2015-04-01","8.484"
"2015-05-01","8.483"
"2015-06-01","8.475"
"2015-07-01","8.446"
"2015-08-01","8.546"
"2015-09-01","9.263"
"2015-10-01","9.127"
"2015-11-01","8.975"
"2015-12-01","9.285"
"2016-01-01","12.387"
"2016-02-01","12.716"
"2016-03-01","12.978"
"2016-04-01","13.29"
"2016-05-01","13.291"
"2016-06-01","13.846"
"2016-07-01","13.641"
"2016-08-01","13.599"
"2016-09-01","13.349"
"2016-10-01","13.407"
"2016-11-01","14.232"
"2016-12-01","14.441"
"2017-01-01","11.101"
"2017-02-01","11.067"
"2017-03-01","10.878"
"2017-04-01","11.492"
"2017-05-01","12.549"
"2017-06-01","12.596"
"2017-07-01","12.339"
"2017-08-01","11.943"
"2017-09-01","12.565"
"2017-10-01","12.478"
"2017-11-01","12.856"
"2017-12-01","13.153"
"2018-01-01","15.081"
"2018-02-01","15.452"
"2018-03-01","15.083"
"2018-04-01","14.407"
"2018-05-01","14.566"
"2018-06-01","15.034"
"2018-07-01","15.555"
"2018-08-01","15.463"
"2018-09-01","14.608"
"2018-10-01","15.114"
"2018-11-01","15.633"
"2018-12-01","16.052"
"2019-01-01","16.154"
"2019-02-01","16.648"
"2019-03-01","17.062"
"2019-04-01","17.858"
"2019-05-01","19.198"
"2019-06-01","20.005"
"2019-07-01","18.82"
"2019-08-01","18.442"
"2019-09-01","18.316"
"2019-10-01","19.374"
"2019-11-01","20.275"
"2019-12-01","20.912"
"2020-01-01","18.582"
"2020-02-01","18.612"
"2020-03-01","18.756"
"2020-04-01","18.971"
"2020-05-01","19.784"
"2020-06-01","20.17"
"2020-07-01","19.149"
"2020-08-01","22.3"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","28.782"
"2020-12-01","28.999"
"2021-01-01","26.966"
"2021-02-01","26.8"
"2021-03-01","27.224"
"2021-04-01","27.072"
"2021-05-01","27.073"
"2021-06-01","27.29"
"2021-07-01","26.777"
"2021-08-01","26.747"
"2021-09-01","27.061"
"2021-10-01","27.932"
"2021-11-01","31.165"
"2021-12-01","33.661"
"2022-01-01","34.101"
"2022-02-01","34.244"
"2022-03-01","36.568"
"2022-04-01","38.085"
"2022-05-01","41.48"
"2022-06-01","44.581"
"2022-07-01","47.58"
"2022-08-01","51.402"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","59.606"
"2022-12-01","62.944"
"2023-01-01","62.227"
"2023-02-01","65.274"
"2023-03-01",null
"2023-04-01","69.553"
"2023-05-01","82.795"
"2023-06-01","71.253"
"2023-07-01","78.895"
