"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2022-02-01","61.05%","18.99%","19.96%"
"2022-03-01","61.36%","18.84%","19.80%"
"2022-04-01","61.76%","18.66%","19.58%"
"2022-05-01","62.26%","18.53%","19.21%"
"2022-06-01","62.22%","18.91%","18.87%"
"2022-07-01","63.00%","18.23%","18.77%"
"2022-08-01","62.61%","18.93%","18.46%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","64.39%","18.60%","17.01%"
"2022-12-01","64.86%","18.33%","16.81%"
"2023-01-01","64.75%","18.42%","16.83%"
"2023-02-01","64.99%","18.63%","16.39%"
"2023-03-01",null,null,null
"2023-04-01","66.38%","20.16%","13.46%"
"2023-05-01","68.22%","20.37%","11.41%"
"2023-06-01","64.09%","23.69%","12.22%"
"2023-07-01","67.26%","21.76%","10.98%"
