"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2016-11-01","46.15%","25.85%","28.01%"
"2016-12-01","46.27%","26.13%","27.60%"
"2017-01-01","35.53%","27.20%","37.26%"
"2017-02-01","35.58%","27.21%","37.21%"
"2017-03-01","35.67%","26.65%","37.68%"
"2017-04-01","34.12%","27.93%","37.95%"
"2017-05-01","34.83%","28.20%","36.97%"
"2017-06-01","35.54%","28.36%","36.10%"
"2017-07-01","34.58%","28.83%","36.59%"
"2017-08-01","32.53%","28.11%","39.37%"
"2017-09-01","33.25%","28.37%","38.38%"
"2017-10-01","34.13%","29.48%","36.38%"
"2017-11-01","34.47%","29.45%","36.08%"
"2017-12-01","35.46%","29.10%","35.44%"
"2018-01-01","37.95%","27.91%","34.13%"
"2018-02-01","36.95%","28.71%","34.34%"
"2018-03-01","37.37%","28.03%","34.59%"
"2018-04-01","38.27%","26.74%","34.98%"
"2018-05-01","38.54%","26.33%","35.13%"
"2018-06-01","38.86%","26.04%","35.09%"
"2018-07-01","41.75%","24.58%","33.67%"
"2018-08-01","42.62%","23.71%","33.68%"
"2018-09-01","43.87%","22.65%","33.48%"
"2018-10-01","45.87%","21.74%","32.38%"
"2018-11-01","46.19%","21.34%","32.47%"
"2018-12-01","46.01%","21.71%","32.28%"
"2019-01-01","45.68%","21.67%","32.65%"
"2019-02-01","45.04%","21.76%","33.20%"
"2019-03-01","45.94%","21.49%","32.57%"
"2019-04-01","46.77%","21.79%","31.44%"
"2019-05-01","47.07%","22.29%","30.64%"
"2019-06-01","46.00%","22.60%","31.40%"
"2019-07-01","46.57%","21.55%","31.88%"
"2019-08-01","46.40%","21.64%","31.96%"
"2019-09-01","46.80%","21.99%","31.21%"
"2019-10-01","46.84%","22.26%","30.90%"
"2019-11-01","47.15%","22.64%","30.21%"
"2019-12-01","46.17%","23.52%","30.31%"
"2020-01-01",null,null,null
"2020-02-01","47.09%","22.38%","30.53%"
"2020-03-01","45.50%","24.16%","30.34%"
"2020-04-01","45.83%","24.20%","29.97%"
"2020-05-01","47.06%","24.24%","28.69%"
"2020-06-01","47.66%","24.09%","28.24%"
"2020-07-01","46.98%","24.15%","28.87%"
"2020-08-01","51.91%","21.61%","26.48%"
"2020-09-01",null,null,null
"2020-10-01",null,null,null
"2020-11-01","57.29%","21.06%","21.66%"
"2020-12-01","57.43%","20.78%","21.79%"
"2021-01-01","58.51%","20.42%","21.07%"
"2021-02-01","57.74%","20.64%","21.63%"
"2021-03-01","58.81%","20.49%","20.70%"
"2021-04-01","58.54%","20.67%","20.79%"
"2021-05-01","57.19%","21.13%","21.68%"
"2021-06-01","57.96%","20.77%","21.27%"
"2021-07-01","58.43%","19.89%","21.68%"
"2021-08-01","58.31%","20.09%","21.59%"
"2021-09-01","57.76%","20.58%","21.66%"
"2021-10-01","57.46%","20.21%","22.32%"
"2021-11-01","57.20%","20.59%","22.21%"
"2021-12-01","56.32%","21.96%","21.72%"
"2022-01-01","56.07%","22.15%","21.78%"
"2022-02-01","56.09%","21.71%","22.20%"
"2022-03-01","56.17%","21.47%","22.36%"
"2022-04-01","56.25%","21.84%","21.91%"
"2022-05-01","57.03%","21.42%","21.55%"
"2022-06-01","55.83%","22.17%","22.00%"
"2022-07-01","56.64%","21.42%","21.94%"
"2022-08-01","55.77%","21.80%","22.43%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","60.39%","19.30%","20.31%"
"2022-12-01","60.51%","18.88%","20.61%"
"2023-01-01","58.53%","20.10%","21.37%"
"2023-02-01","58.43%","20.53%","21.04%"
"2023-03-01",null,null,null
"2023-04-01","59.51%","20.34%","20.16%"
"2023-05-01","59.99%","19.93%","20.07%"
"2023-06-01","58.36%","21.23%","20.42%"
"2023-07-01","60.10%","20.29%","19.61%"
