"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","24.18%","38.91%","36.91%"
"2011-03-01","27.31%","36.01%","36.67%"
"2011-04-01","24.76%","36.72%","38.52%"
"2011-05-01","23.11%","37.05%","39.83%"
"2011-06-01","21.03%","37.72%","41.26%"
"2011-07-01","21.19%","38.77%","40.04%"
"2011-08-01","23.81%","37.62%","38.57%"
"2011-09-01","22.90%","38.14%","38.96%"
"2011-10-01","20.22%","39.13%","40.65%"
"2011-11-01","20.20%","39.81%","39.98%"
"2011-12-01","19.01%","39.44%","41.54%"
"2012-01-01","18.56%","37.46%","43.98%"
"2012-02-01","21.17%","37.84%","40.99%"
"2012-03-01","21.02%","38.10%","40.89%"
"2012-04-01","23.12%","37.56%","39.33%"
"2012-05-01","22.69%","37.36%","39.95%"
"2012-06-01","22.47%","37.41%","40.12%"
"2012-07-01","22.79%","38.02%","39.19%"
"2012-08-01","22.61%","35.67%","41.72%"
"2012-09-01","22.75%","35.16%","42.09%"
"2012-10-01","22.97%","33.64%","43.39%"
"2012-11-01","22.41%","34.61%","42.98%"
"2012-12-01","22.33%","36.48%","41.19%"
"2013-01-01","22.67%","34.65%","42.68%"
"2013-02-01","23.07%","33.90%","43.03%"
"2013-03-01","23.33%","33.61%","43.06%"
"2013-04-01","23.98%","33.40%","42.63%"
"2013-05-01","23.99%","34.65%","41.36%"
"2013-06-01","24.79%","34.97%","40.24%"
"2013-07-01","24.85%","34.36%","40.79%"
"2013-08-01","25.61%","33.73%","40.65%"
"2013-09-01","27.18%","32.49%","40.33%"
"2013-10-01","28.48%","32.22%","39.29%"
"2013-11-01","28.37%","32.68%","38.95%"
"2013-12-01","32.01%","30.44%","37.55%"
"2014-01-01","31.69%","31.22%","37.09%"
"2014-02-01","32.50%","30.20%","37.30%"
"2014-03-01","36.18%","28.75%","35.07%"
"2014-04-01","36.22%","28.68%","35.10%"
"2014-05-01","36.85%","28.67%","34.48%"
"2014-06-01","35.81%","28.99%","35.20%"
"2014-07-01","36.82%","28.18%","35.00%"
"2014-08-01","39.04%","27.13%","33.83%"
"2014-09-01","40.90%","26.85%","32.25%"
"2014-10-01","41.41%","26.62%","31.97%"
"2014-11-01","42.29%","25.78%","31.94%"
"2014-12-01","42.90%","25.38%","31.72%"
"2015-01-01","29.62%","28.53%","41.86%"
"2015-02-01","28.55%","29.57%","41.88%"
"2015-03-01","29.33%","27.89%","42.78%"
"2015-04-01","29.23%","28.30%","42.48%"
"2015-05-01","28.61%","29.20%","42.20%"
"2015-06-01","29.32%","29.48%","41.20%"
"2015-07-01","30.18%","28.55%","41.27%"
"2015-08-01","30.61%","28.01%","41.38%"
"2015-09-01","31.39%","27.24%","41.36%"
"2015-10-01","31.60%","28.59%","39.82%"
"2015-11-01","30.57%","30.07%","39.36%"
"2015-12-01","30.95%","29.92%","39.13%"
"2016-01-01","45.96%","27.89%","26.15%"
"2016-02-01","46.91%","27.06%","26.03%"
"2016-03-01","47.54%","26.61%","25.85%"
"2016-04-01","48.17%","26.26%","25.58%"
"2016-05-01","48.02%","26.19%","25.79%"
"2016-06-01","48.67%","25.56%","25.77%"
"2016-07-01","46.22%","26.60%","27.18%"
"2016-08-01","45.48%","26.79%","27.73%"
"2016-09-01","45.24%","26.60%","28.16%"
"2016-10-01","45.41%","26.16%","28.43%"
