"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","482.992"
"2011-03-01","533.341"
"2011-04-01","551.69"
"2011-05-01","573.013"
"2011-06-01","583.009"
"2011-07-01","564.122"
"2011-08-01","537.888"
"2011-09-01","463.057"
"2011-10-01","437.254"
"2011-11-01","428.386"
"2011-12-01","436.652"
"2012-01-01","457.078"
"2012-02-01","445.004"
"2012-03-01","439.771"
"2012-04-01","421.019"
"2012-05-01","425.767"
"2012-06-01","428.791"
"2012-07-01","421.137"
"2012-08-01","431.744"
"2012-09-01","437.108"
"2012-10-01","446.659"
"2012-11-01","444.737"
"2012-12-01","426.789"
"2013-01-01","437.16"
"2013-02-01","442.091"
"2013-03-01","441.061"
"2013-04-01","445.386"
"2013-05-01","437.691"
"2013-06-01","430.912"
"2013-07-01","431.433"
"2013-08-01","436.155"
"2013-09-01","429.564"
"2013-10-01","413.59"
"2013-11-01","402.333"
"2013-12-01","393.244"
"2014-01-01","390.445"
"2014-02-01","393.958"
"2014-03-01","372.495"
"2014-04-01","373.992"
"2014-05-01","368.805"
"2014-06-01","377.558"
"2014-07-01","372.383"
"2014-08-01","355.098"
"2014-09-01","337.855"
"2014-10-01","327.259"
"2014-11-01","329.225"
"2014-12-01","328.165"
"2015-01-01","408.937"
"2015-02-01","410.069"
"2015-03-01","422.516"
"2015-04-01","412.506"
"2015-05-01","411.58"
"2015-06-01","398.592"
"2015-07-01","403.987"
"2015-08-01","400.455"
"2015-09-01","395.408"
"2015-10-01","383.623"
"2015-11-01","378.7"
"2015-12-01","380.255"
"2016-01-01","268.798"
"2016-02-01","266.58"
"2016-03-01","269.754"
"2016-04-01","267.881"
"2016-05-01","267.352"
"2016-06-01","264.606"
"2016-07-01","282.801"
"2016-08-01","294.027"
"2016-09-01","309.776"
"2016-10-01","303.757"
"2016-11-01","297.579"
"2016-12-01","293.83"
"2017-01-01","386.39"
"2017-02-01","380.195"
"2017-03-01","385.399"
"2017-04-01","388.761"
"2017-05-01","385.43"
"2017-06-01","381.906"
"2017-07-01","384.988"
"2017-08-01","411.2"
"2017-09-01","403.636"
"2017-10-01","386.649"
"2017-11-01","381.282"
"2017-12-01","372.301"
"2018-01-01","355.782"
"2018-02-01","358.249"
"2018-03-01","355.651"
"2018-04-01","357.63"
"2018-05-01","363.819"
"2018-06-01","364.124"
"2018-07-01","339.858"
"2018-08-01","347.699"
"2018-09-01","352.349"
"2018-10-01","340.081"
"2018-11-01","346.026"
"2018-12-01","343.607"
"2019-01-01","341.603"
"2019-02-01","343.148"
"2019-03-01","334.563"
"2019-04-01","321.383"
"2019-05-01","315.013"
"2019-06-01","324.016"
"2019-07-01","330.765"
"2019-08-01","332.58"
"2019-09-01","325.263"
"2019-10-01","326.425"
"2019-11-01","315.612"
"2019-12-01","316.007"
"2020-01-01",null
"2020-02-01","308.146"
"2020-03-01","307.852"
"2020-04-01","307.289"
"2020-05-01","296.728"
"2020-06-01","290.557"
"2020-07-01","290.585"
"2020-08-01","263.111"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","241.21"
"2020-12-01","240.402"
"2021-01-01","227.12"
"2021-02-01","233.075"
"2021-03-01","225.491"
"2021-04-01","226.28"
"2021-05-01","224.754"
"2021-06-01","220.248"
"2021-07-01","224.902"
"2021-08-01","222.085"
"2021-09-01","222.593"
"2021-10-01","226.08"
"2021-11-01","220.739"
"2021-12-01","216.661"
"2022-01-01","216.657"
"2022-02-01","215.1"
"2022-03-01","215.963"
"2022-04-01","212.745"
"2022-05-01","211.635"
"2022-06-01","214.914"
"2022-07-01","216.367"
"2022-08-01","218.9"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","198.149"
"2022-12-01","197.954"
"2023-01-01","204.557"
"2023-02-01","202.997"
"2023-03-01",null
"2023-04-01","198.008"
"2023-05-01","194.744"
"2023-06-01","199.301"
"2023-07-01","196.862"
