"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","15.93"
"2011-03-01","15.647"
"2011-04-01","15.82"
"2011-05-01","15.925"
"2011-06-01","16.024"
"2011-07-01","16.232"
"2011-08-01","16.206"
"2011-09-01","16.971"
"2011-10-01","17.732"
"2011-11-01","18.012"
"2011-12-01","18.544"
"2012-01-01","18.384"
"2012-02-01","18.902"
"2012-03-01","19.427"
"2012-04-01","20.137"
"2012-05-01","20.481"
"2012-06-01","20.774"
"2012-07-01","20.646"
"2012-08-01","20.943"
"2012-09-01","21.46"
"2012-10-01","21.701"
"2012-11-01","21.645"
"2012-12-01","21.773"
"2013-01-01","21.502"
"2013-02-01","22.168"
"2013-03-01","22.641"
"2013-04-01","23.924"
"2013-05-01","24.783"
"2013-06-01","25.122"
"2013-07-01","25.894"
"2013-08-01","26.805"
"2013-09-01","28.338"
"2013-10-01","29.221"
"2013-11-01","29.642"
"2013-12-01","29.85"
"2014-01-01","29.894"
"2014-02-01","30.439"
"2014-03-01","31.001"
"2014-04-01","32.175"
"2014-05-01","33.569"
"2014-06-01","34.182"
"2014-07-01","35.006"
"2014-08-01","38.181"
"2014-09-01","40.26"
"2014-10-01","41.54"
"2014-11-01","42.752"
"2014-12-01","43.153"
"2015-01-01","43.901"
"2015-02-01","44.458"
"2015-03-01","45.13"
"2015-04-01","45.786"
"2015-05-01","46.971"
"2015-06-01","47.644"
"2015-07-01","50.213"
"2015-08-01","52.673"
"2015-09-01","57.874"
"2015-10-01","60.105"
"2015-11-01","61.782"
"2015-12-01","62.192"
"2016-01-01","62.467"
"2016-02-01","62.751"
"2016-03-01","62.885"
"2016-04-01","63.751"
"2016-05-01","64.454"
"2016-06-01","65.529"
"2016-07-01","66.572"
"2016-08-01","67.801"
"2016-09-01","69.796"
"2016-10-01","70.282"
"2016-11-01","72.02"
"2016-12-01","72.851"
"2017-01-01","75.721"
"2017-02-01","76.753"
"2017-03-01","78.389"
"2017-04-01","78.621"
"2017-05-01","80.4"
"2017-06-01","81.149"
"2017-07-01","80.548"
"2017-08-01","83.323"
"2017-09-01","86.742"
"2017-10-01","88.793"
"2017-11-01","90.033"
"2017-12-01","90.05"
"2018-01-01","93.824"
"2018-02-01","96.676"
"2018-03-01","99.342"
"2018-04-01","102.423"
"2018-05-01","106.703"
"2018-06-01","109.27"
"2018-07-01","111.526"
"2018-08-01","113.953"
"2018-09-01","120.866"
"2018-10-01","124.908"
"2018-11-01","125.155"
"2018-12-01","124.586"
"2019-01-01","126.187"
"2019-02-01","126.463"
"2019-03-01","127.715"
"2019-04-01","129.238"
"2019-05-01","132.273"
"2019-06-01","139.585"
"2019-07-01","147.45"
"2019-08-01","156.077"
"2019-09-01","162.186"
"2019-10-01","165.599"
"2019-11-01","166.948"
"2019-12-01","164.369"
"2020-01-01","165.975"
"2020-02-01","166.27"
"2020-03-01","167.025"
"2020-04-01","167.519"
"2020-05-01","170.026"
"2020-06-01","173.017"
"2020-07-01","178.316"
"2020-08-01","195.937"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","209.608"
"2020-12-01","218.199"
"2021-01-01","214.058"
"2021-02-01","215.434"
"2021-03-01","216.509"
"2021-04-01","230.163"
"2021-05-01","230.885"
"2021-06-01","230.307"
"2021-07-01","233.213"
"2021-08-01","246.904"
"2021-09-01","258.202"
"2021-10-01","261.326"
"2021-11-01","268.133"
"2021-12-01","272.261"
"2022-01-01","274.128"
"2022-02-01","279.064"
"2022-03-01","286.01"
"2022-04-01","291.863"
"2022-05-01","295.065"
"2022-06-01","298.578"
"2022-07-01","303.485"
"2022-08-01","303.441"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","324.881"
"2022-12-01","331.963"
"2023-01-01","337.644"
"2023-02-01","340.142"
"2023-03-01",null
"2023-04-01","351.048"
"2023-05-01","340.014"
"2023-06-01","309.383"
"2023-07-01","339.012"
