"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","0.822"
"2011-03-01","0.749"
"2011-04-01","0.761"
"2011-05-01","0.795"
"2011-06-01","0.807"
"2011-07-01","0.785"
"2011-08-01","0.767"
"2011-09-01","0.778"
"2011-10-01","0.795"
"2011-11-01","0.843"
"2011-12-01","0.841"
"2012-01-01","0.768"
"2012-02-01","0.773"
"2012-03-01","0.753"
"2012-04-01","0.751"
"2012-05-01","0.797"
"2012-06-01","0.799"
"2012-07-01","0.8"
"2012-08-01","0.807"
"2012-09-01","0.814"
"2012-10-01","0.838"
"2012-11-01","0.92"
"2012-12-01","0.903"
"2013-01-01","0.835"
"2013-02-01","0.844"
"2013-03-01","0.843"
"2013-04-01","0.825"
"2013-05-01","0.861"
"2013-06-01","0.905"
"2013-07-01","0.975"
"2013-08-01","0.96"
"2013-09-01","0.889"
"2013-10-01","0.941"
"2013-11-01","1.045"
"2013-12-01","1.084"
"2014-01-01","1.063"
"2014-02-01","1.07"
"2014-03-01","1.24"
"2014-04-01","1.195"
"2014-05-01","1.204"
"2014-06-01","1.293"
"2014-07-01","1.359"
"2014-08-01","1.359"
"2014-09-01","1.437"
"2014-10-01","1.589"
"2014-11-01","1.708"
"2014-12-01","1.782"
"2015-01-01","1.334"
"2015-02-01","1.362"
"2015-03-01","1.294"
"2015-04-01","1.218"
"2015-05-01","1.153"
"2015-06-01","1.171"
"2015-07-01","1.196"
"2015-08-01","1.267"
"2015-09-01","1.565"
"2015-10-01","1.361"
"2015-11-01","1.266"
"2015-12-01","1.593"
"2016-01-01","2.491"
"2016-02-01","2.805"
"2016-03-01","2.785"
"2016-04-01","2.919"
"2016-05-01","2.769"
"2016-06-01","3.034"
"2016-07-01","3.169"
"2016-08-01","3.28"
"2016-09-01","3.172"
"2016-10-01","3.215"
"2016-11-01","3.937"
"2016-12-01","3.923"
"2017-01-01","2.001"
"2017-02-01","2.033"
"2017-03-01","1.912"
"2017-04-01","2.616"
"2017-05-01","3.816"
"2017-06-01","3.804"
"2017-07-01","3.775"
"2017-08-01","3.457"
"2017-09-01","3.601"
"2017-10-01","3.478"
"2017-11-01","3.313"
"2017-12-01","3.476"
"2018-01-01","4.641"
"2018-02-01","4.805"
"2018-03-01","3.792"
"2018-04-01","2.942"
"2018-05-01","2.869"
"2018-06-01","2.677"
"2018-07-01","2.924"
"2018-08-01","2.987"
"2018-09-01","2.7"
"2018-10-01","2.782"
"2018-11-01","3.125"
"2018-12-01","3.617"
"2019-01-01","3.554"
"2019-02-01","3.996"
"2019-03-01","3.962"
"2019-04-01","4.162"
"2019-05-01","6.061"
"2019-06-01","6.311"
"2019-07-01","5.398"
"2019-08-01","5.562"
"2019-09-01","5.531"
"2019-10-01","5.978"
"2019-11-01","6.504"
"2019-12-01","6.577"
"2020-01-01","3.443"
"2020-02-01","3.471"
"2020-03-01","3.87"
"2020-04-01","3.799"
"2020-05-01",null
"2020-06-01",null
"2020-07-01","3.761"
"2020-08-01","4.41"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","5.905"
"2020-12-01","6.516"
"2021-01-01","5.657"
"2021-02-01","5.605"
"2021-03-01","6.005"
"2021-04-01","5.67"
"2021-05-01","6.174"
"2021-06-01","6.741"
"2021-07-01","6.552"
"2021-08-01","6.337"
"2021-09-01","6.023"
"2021-10-01","6.86"
"2021-11-01","9.057"
"2021-12-01","11.506"
"2022-01-01","11.293"
"2022-02-01","11.319"
"2022-03-01","12.703"
"2022-04-01","13.959"
"2022-05-01","16.241"
"2022-06-01","18.051"
"2022-07-01","19.652"
"2022-08-01","23.251"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","27.645"
"2022-12-01","30.986"
"2023-01-01","29.881"
"2023-02-01","32.469"
"2023-03-01",null
"2023-04-01","39.961"
"2023-05-01","52.342"
"2023-06-01","40.598"
"2023-07-01","45.294"
