"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","1,108.968"
"2011-03-01","1,061.698"
"2011-04-01","1,063.9"
"2011-05-01","1,080.297"
"2011-06-01","1,093.482"
"2011-07-01","1,077.246"
"2011-08-01","1,032.525"
"2011-09-01","978.74"
"2011-10-01","958.177"
"2011-11-01","935.443"
"2011-12-01","876.714"
"2012-01-01","908.389"
"2012-02-01","900.876"
"2012-03-01","906.108"
"2012-04-01","881.923"
"2012-05-01","871.605"
"2012-06-01","863.884"
"2012-07-01","871.258"
"2012-08-01","869.377"
"2012-09-01","862.028"
"2012-10-01","857.759"
"2012-11-01","846.335"
"2012-12-01","847.651"
"2013-01-01","814.814"
"2013-02-01","807.596"
"2013-03-01","791.807"
"2013-04-01","745.88"
"2013-05-01","713.386"
"2013-06-01","710.148"
"2013-07-01","682.201"
"2013-08-01","659.813"
"2013-09-01","642.312"
"2013-10-01","624.108"
"2013-11-01","619.003"
"2013-12-01","612.848"
"2014-01-01","607.775"
"2014-02-01","617.096"
"2014-03-01","610.773"
"2014-04-01","607.975"
"2014-05-01","598.345"
"2014-06-01","593.178"
"2014-07-01","590.819"
"2014-08-01","568.597"
"2014-09-01","572.851"
"2014-10-01","567.462"
"2014-11-01","564.208"
"2014-12-01","557.435"
"2015-01-01","556.276"
"2015-02-01","561.617"
"2015-03-01","558.66"
"2015-04-01","552.561"
"2015-05-01","544.972"
"2015-06-01","545.097"
"2015-07-01","526.323"
"2015-08-01","513.779"
"2015-09-01","492.875"
"2015-10-01","477.405"
"2015-11-01","474.232"
"2015-12-01","472.454"
"2016-01-01","463.201"
"2016-02-01","455.296"
"2016-03-01","452.864"
"2016-04-01","469.135"
"2016-05-01","459.232"
"2016-06-01","450.656"
"2016-07-01",null
"2016-08-01","448.577"
"2016-09-01","447.06"
"2016-10-01","440.255"
"2016-11-01","424.81"
"2016-12-01","419.93"
"2017-01-01","407.225"
"2017-02-01","406.391"
"2017-03-01","400.908"
"2017-04-01","394.612"
"2017-05-01","382.291"
"2017-06-01","370.814"
"2017-07-01","377.949"
"2017-08-01","382.928"
"2017-09-01","368.152"
"2017-10-01","362.951"
"2017-11-01","359.595"
"2017-12-01","354.21"
"2018-01-01","353.164"
"2018-02-01","353.199"
"2018-03-01","342.507"
"2018-04-01","331.628"
"2018-05-01","330.701"
"2018-06-01","325.786"
"2018-07-01","315.807"
"2018-08-01","301.984"
"2018-09-01","271.165"
"2018-10-01","264.116"
"2018-11-01","259.255"
"2018-12-01","254.709"
"2019-01-01","253.607"
"2019-02-01","259.967"
"2019-03-01","266.492"
"2019-04-01","262.56"
"2019-05-01","261.189"
"2019-06-01","264.173"
"2019-07-01","277.387"
"2019-08-01","274.693"
"2019-09-01","272.493"
"2019-10-01","272.405"
"2019-11-01","268.662"
"2019-12-01","276.774"
"2020-01-01",null
"2020-02-01","280.066"
"2020-03-01","289.382"
"2020-04-01","297.227"
"2020-05-01","292.164"
"2020-06-01","291.978"
"2020-07-01","288.771"
"2020-08-01","280.799"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","267.734"
"2020-12-01","270.317"
"2021-01-01","270.693"
"2021-02-01","269.094"
"2021-03-01","268.9"
"2021-04-01","271.722"
"2021-05-01","272.41"
"2021-06-01","274.717"
"2021-07-01","273.926"
"2021-08-01","270.988"
"2021-09-01","263.261"
"2021-10-01","270.792"
"2021-11-01","270.626"
"2021-12-01","263.409"
"2022-01-01","252.941"
"2022-02-01","244.047"
"2022-03-01","242.051"
"2022-04-01","241.657"
"2022-05-01","237.569"
"2022-06-01","235.427"
"2022-07-01","235.647"
"2022-08-01","233.893"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","225.661"
"2022-12-01","227.306"
"2023-01-01","220.162"
"2023-02-01","220.115"
"2023-03-01",null
"2023-04-01","223.764"
"2023-05-01","217.484"
"2023-06-01","226.055"
"2023-07-01","224.777"
