"dtime per month","Percentage <100ms","Percentage 100ms-250ms","Percentage >250ms"
"2011-01-01",null,null,null
"2011-02-01","43.22%","23.04%","33.75%"
"2011-03-01","50.78%","20.75%","28.47%"
"2011-04-01","50.60%","20.91%","28.48%"
"2011-05-01","50.44%","20.57%","28.99%"
"2011-06-01","48.53%","21.41%","30.06%"
"2011-07-01","49.77%","21.70%","28.53%"
"2011-08-01","53.31%","20.28%","26.41%"
"2011-09-01","45.29%","21.73%","32.97%"
"2011-10-01","40.95%","22.76%","36.29%"
"2011-11-01","40.58%","21.73%","37.68%"
"2011-12-01","40.33%","21.66%","38.01%"
"2012-01-01","34.97%","22.26%","42.77%"
"2012-02-01","35.38%","21.87%","42.75%"
"2012-03-01","35.97%","22.43%","41.61%"
"2012-04-01","40.43%","22.55%","37.02%"
"2012-05-01","41.44%","22.30%","36.26%"
"2012-06-01","40.07%","23.26%","36.67%"
"2012-07-01","39.85%","23.27%","36.87%"
"2012-08-01","40.55%","23.46%","35.99%"
"2012-09-01","39.01%","25.60%","35.39%"
"2012-10-01","40.10%","25.47%","34.43%"
"2012-11-01","39.90%","25.20%","34.90%"
"2012-12-01","38.47%","26.07%","35.46%"
"2013-01-01","36.83%","26.48%","36.69%"
"2013-02-01","37.75%","25.51%","36.74%"
"2013-03-01","38.68%","25.36%","35.96%"
"2013-04-01","44.65%","22.01%","33.34%"
"2013-05-01","47.98%","19.94%","32.08%"
"2013-06-01","47.87%","19.19%","32.94%"
"2013-07-01","49.09%","18.52%","32.39%"
"2013-08-01","49.56%","17.58%","32.86%"
"2013-09-01","50.60%","16.73%","32.67%"
"2013-10-01","51.12%","17.04%","31.84%"
"2013-11-01","51.54%","16.98%","31.49%"
"2013-12-01","51.62%","17.46%","30.92%"
"2014-01-01","50.26%","18.44%","31.30%"
"2014-02-01","49.70%","18.37%","31.93%"
"2014-03-01","50.01%","18.60%","31.40%"
"2014-04-01","49.47%","18.37%","32.16%"
"2014-05-01","48.70%","18.30%","33.00%"
"2014-06-01","46.54%","20.17%","33.29%"
"2014-07-01","46.40%","19.51%","34.09%"
"2014-08-01","47.69%","18.33%","33.97%"
"2014-09-01","46.11%","19.23%","34.65%"
"2014-10-01","44.84%","20.15%","35.00%"
"2014-11-01","43.58%","20.75%","35.67%"
"2014-12-01","43.47%","21.12%","35.41%"
"2015-01-01","43.14%","21.76%","35.10%"
"2015-02-01","43.25%","21.77%","34.98%"
"2015-03-01","44.53%","21.01%","34.46%"
"2015-04-01","45.57%","20.34%","34.09%"
"2015-05-01","45.51%","20.92%","33.57%"
"2015-06-01","45.54%","20.84%","33.62%"
"2015-07-01","45.65%","20.80%","33.55%"
"2015-08-01","45.65%","21.29%","33.06%"
"2015-09-01","46.93%","20.99%","32.09%"
"2015-10-01","47.47%","21.09%","31.43%"
"2015-11-01","46.86%","21.49%","31.65%"
"2015-12-01","46.46%","22.01%","31.53%"
"2016-01-01","46.23%","22.27%","31.50%"
"2016-02-01","47.04%","22.38%","30.58%"
"2016-03-01","47.51%","22.34%","30.15%"
"2016-04-01","47.58%","22.37%","30.05%"
"2016-05-01","47.53%","22.67%","29.80%"
"2016-06-01","47.51%","23.04%","29.45%"
"2016-07-01","47.44%","23.51%","29.05%"
"2016-08-01","43.88%","17.36%","38.76%"
"2016-09-01","41.13%","12.98%","45.89%"
"2016-10-01","41.39%","14.14%","44.47%"
"2016-11-01","42.40%","15.16%","42.45%"
"2016-12-01","43.27%","14.55%","42.18%"
"2017-01-01","43.83%","14.79%","41.38%"
"2017-02-01","43.47%","14.53%","42.00%"
"2017-03-01","42.83%","15.06%","42.11%"
"2017-04-01","43.18%","15.26%","41.56%"
"2017-05-01","42.64%","15.57%","41.78%"
"2017-06-01","43.27%","16.47%","40.26%"
"2017-07-01","43.00%","16.75%","40.26%"
"2017-08-01","44.14%","16.38%","39.48%"
"2017-09-01","44.97%","16.36%","38.67%"
"2017-10-01","45.77%","16.22%","38.00%"
"2017-11-01","46.16%","16.73%","37.11%"
"2017-12-01","46.36%","17.32%","36.32%"
"2018-01-01","47.28%","18.22%","34.50%"
"2018-02-01","48.34%","18.93%","32.73%"
"2018-03-01","48.23%","18.30%","33.47%"
"2018-04-01","48.76%","18.46%","32.78%"
"2018-05-01","47.67%","19.65%","32.67%"
"2018-06-01","47.75%","19.09%","33.15%"
"2018-07-01","49.10%","17.00%","33.90%"
"2018-08-01","50.68%","15.94%","33.39%"
"2018-09-01","53.51%","15.75%","30.74%"
"2018-10-01","53.71%","16.12%","30.17%"
"2018-11-01","53.83%","16.62%","29.55%"
"2018-12-01","54.36%","16.98%","28.66%"
"2019-01-01","53.86%","16.73%","29.41%"
"2019-02-01","52.80%","17.41%","29.80%"
"2019-03-01","52.75%","16.87%","30.38%"
"2019-04-01","52.75%","16.16%","31.09%"
"2019-05-01","53.09%","15.09%","31.82%"
"2019-06-01","55.16%","16.15%","28.69%"
"2019-07-01","53.92%","15.90%","30.17%"
"2019-08-01","52.03%","15.92%","32.05%"
"2019-09-01","52.68%","16.16%","31.16%"
"2019-10-01","53.77%","15.83%","30.40%"
"2019-11-01","54.95%","16.43%","28.61%"
"2019-12-01","55.67%","18.55%","25.79%"
"2020-01-01",null,null,null
"2020-02-01","55.53%","18.73%","25.75%"
"2020-03-01","54.89%","19.65%","25.46%"
"2020-04-01","53.56%","20.14%","26.29%"
"2020-05-01","54.19%","20.11%","25.71%"
"2020-06-01","54.56%","19.78%","25.67%"
"2020-07-01","53.52%","20.58%","25.90%"
"2020-08-01","51.74%","19.52%","28.74%"
"2020-09-01",null,null,null
"2020-10-01",null,null,null
"2020-11-01","54.05%","24.82%","21.13%"
"2020-12-01","53.59%","24.47%","21.94%"
"2021-01-01","54.42%","21.69%","23.89%"
"2021-02-01","55.33%","21.83%","22.83%"
"2021-03-01","56.04%","21.50%","22.47%"
"2021-04-01","55.70%","21.45%","22.85%"
"2021-05-01","56.71%","19.51%","23.78%"
"2021-06-01","55.99%","20.18%","23.83%"
"2021-07-01","55.39%","20.02%","24.59%"
"2021-08-01","57.09%","19.40%","23.51%"
"2021-09-01","55.38%","19.98%","24.63%"
"2021-10-01","55.82%","20.63%","23.55%"
"2021-11-01","54.75%","20.24%","25.01%"
"2021-12-01","54.02%","18.99%","26.98%"
"2022-01-01","53.86%","19.31%","26.83%"
"2022-02-01","53.04%","20.48%","26.48%"
"2022-03-01","53.94%","20.19%","25.87%"
"2022-04-01","54.75%","19.56%","25.69%"
"2022-05-01","54.84%","19.80%","25.36%"
"2022-06-01","55.06%","20.44%","24.50%"
"2022-07-01","56.08%","19.45%","24.48%"
"2022-08-01","56.05%","20.63%","23.33%"
"2022-09-01",null,null,null
"2022-10-01",null,null,null
"2022-11-01","57.52%","21.82%","20.65%"
"2022-12-01","58.11%","21.61%","20.27%"
"2023-01-01","59.30%","21.01%","19.69%"
"2023-02-01","59.87%","21.02%","19.11%"
"2023-03-01",null,null,null
"2023-04-01","60.59%","25.03%","14.38%"
"2023-05-01","61.22%","27.51%","11.27%"
"2023-06-01","58.90%","30.37%","10.73%"
"2023-07-01","61.87%","28.42%","9.70%"
