"dtime per month","Average speed (Mbps)"
"2011-01-01",null
"2011-02-01","19.781"
"2011-03-01","19.213"
"2011-04-01","19.183"
"2011-05-01","19.324"
"2011-06-01","19.334"
"2011-07-01","19.728"
"2011-08-01","19.57"
"2011-09-01","19.552"
"2011-10-01","19.376"
"2011-11-01","19.633"
"2011-12-01","19.953"
"2012-01-01","20.043"
"2012-02-01","19.594"
"2012-03-01","20.088"
"2012-04-01","22.132"
"2012-05-01","22.38"
"2012-06-01","22.671"
"2012-07-01","23.375"
"2012-08-01","23.547"
"2012-09-01","23.57"
"2012-10-01","23.903"
"2012-11-01","23.25"
"2012-12-01","23.608"
"2013-01-01","23.554"
"2013-02-01","23.682"
"2013-03-01","24.126"
"2013-04-01","24.534"
"2013-05-01","24.846"
"2013-06-01","25.13"
"2013-07-01","25.274"
"2013-08-01","25.633"
"2013-09-01","25.472"
"2013-10-01","24.849"
"2013-11-01","24.716"
"2013-12-01","24.93"
"2014-01-01","25.255"
"2014-02-01","25.101"
"2014-03-01","25.62"
"2014-04-01","25.763"
"2014-05-01","26.26"
"2014-06-01","26.666"
"2014-07-01","27.154"
"2014-08-01","33.696"
"2014-09-01","38.838"
"2014-10-01","41.731"
"2014-11-01","42.917"
"2014-12-01","43.356"
"2015-01-01","43.949"
"2015-02-01","44.189"
"2015-03-01","44.935"
"2015-04-01","45.979"
"2015-05-01","46.794"
"2015-06-01","47.32"
"2015-07-01","47.908"
"2015-08-01","48.435"
"2015-09-01","48.91"
"2015-10-01","49.785"
"2015-11-01","50.524"
"2015-12-01","51.661"
"2016-01-01","51.33"
"2016-02-01","53.067"
"2016-03-01","54.352"
"2016-04-01","54.973"
"2016-05-01","56.604"
"2016-06-01","57.271"
"2016-07-01","56.63"
"2016-08-01","56.22"
"2016-09-01","60.279"
"2016-10-01","59.89"
"2016-11-01","59.977"
"2016-12-01","58.976"
"2017-01-01","59.511"
"2017-02-01","56.494"
"2017-03-01","55.845"
"2017-04-01","56.273"
"2017-05-01","58.26"
"2017-06-01","58.736"
"2017-07-01","63.647"
"2017-08-01","67.659"
"2017-09-01","69.927"
"2017-10-01","71.298"
"2017-11-01","74.089"
"2017-12-01","81.641"
"2018-01-01","89.284"
"2018-02-01","91.564"
"2018-03-01","91.944"
"2018-04-01","91.844"
"2018-05-01","93.935"
"2018-06-01","96.284"
"2018-07-01","94.374"
"2018-08-01","105.985"
"2018-09-01","128.269"
"2018-10-01","134.712"
"2018-11-01","141.486"
"2018-12-01","145.209"
"2019-01-01","148.375"
"2019-02-01","151.516"
"2019-03-01","155.559"
"2019-04-01","158.696"
"2019-05-01","169.5"
"2019-06-01","172.219"
"2019-07-01","158.926"
"2019-08-01","167.096"
"2019-09-01","168.707"
"2019-10-01","171.74"
"2019-11-01","172.597"
"2019-12-01","172.813"
"2020-01-01","152.214"
"2020-02-01","157.56"
"2020-03-01","162.126"
"2020-04-01","161.914"
"2020-05-01",null
"2020-06-01",null
"2020-07-01","183.407"
"2020-08-01","218.72"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","266.635"
"2020-12-01","268.774"
"2021-01-01","226.874"
"2021-02-01","240.639"
"2021-03-01","231.43"
"2021-04-01","177.1"
"2021-05-01","250.699"
"2021-06-01","291.079"
"2021-07-01","306.532"
"2021-08-01","306.404"
"2021-09-01","305.026"
"2021-10-01","306.318"
"2021-11-01","311.545"
"2021-12-01","320.09"
"2022-01-01","325.7"
"2022-02-01","327.599"
"2022-03-01","330.924"
"2022-04-01","336.013"
"2022-05-01","337.761"
"2022-06-01","339.142"
"2022-07-01","347.963"
"2022-08-01","348.952"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","350.289"
"2022-12-01","353.531"
"2023-01-01","356.112"
"2023-02-01","359.834"
"2023-03-01",null
"2023-04-01","393.948"
"2023-05-01","449.072"
"2023-06-01","373.604"
"2023-07-01","401.227"
