"dtime per month","Average latency (ms)"
"2011-01-01",null
"2011-02-01","313.509"
"2011-03-01","291.752"
"2011-04-01","296.315"
"2011-05-01","298.223"
"2011-06-01","313.885"
"2011-07-01","294.866"
"2011-08-01","296.797"
"2011-09-01","310.065"
"2011-10-01","306.915"
"2011-11-01","306.818"
"2011-12-01","288.082"
"2012-01-01","308.316"
"2012-02-01","340.561"
"2012-03-01","357.101"
"2012-04-01","271.314"
"2012-05-01","267.194"
"2012-06-01","265.51"
"2012-07-01","266.92"
"2012-08-01","270.776"
"2012-09-01","275.357"
"2012-10-01","262.889"
"2012-11-01","256.8"
"2012-12-01","263.621"
"2013-01-01","269.971"
"2013-02-01","270.911"
"2013-03-01","263.797"
"2013-04-01","267.437"
"2013-05-01","259.471"
"2013-06-01","246.302"
"2013-07-01","252.314"
"2013-08-01","255.618"
"2013-09-01","258.724"
"2013-10-01","264.352"
"2013-11-01","271.23"
"2013-12-01","263.44"
"2014-01-01","248.263"
"2014-02-01","256.894"
"2014-03-01","254.901"
"2014-04-01","253.311"
"2014-05-01","246.192"
"2014-06-01","244.608"
"2014-07-01","240.858"
"2014-08-01","210.744"
"2014-09-01","194.309"
"2014-10-01","183.49"
"2014-11-01","181.333"
"2014-12-01","183.961"
"2015-01-01","173.52"
"2015-02-01","181.223"
"2015-03-01","181.549"
"2015-04-01","179.662"
"2015-05-01","179.18"
"2015-06-01","178.659"
"2015-07-01","175.905"
"2015-08-01","175.027"
"2015-09-01","170.8"
"2015-10-01","172.319"
"2015-11-01","175.225"
"2015-12-01","169.977"
"2016-01-01","188.274"
"2016-02-01","171.237"
"2016-03-01","170.139"
"2016-04-01","188.642"
"2016-05-01","168.211"
"2016-06-01","158.524"
"2016-07-01",null
"2016-08-01","173.946"
"2016-09-01","184.349"
"2016-10-01","182.054"
"2016-11-01","175.655"
"2016-12-01","173.749"
"2017-01-01","183.004"
"2017-02-01","184.944"
"2017-03-01","181.408"
"2017-04-01","184.696"
"2017-05-01","181.245"
"2017-06-01","180.798"
"2017-07-01","177.499"
"2017-08-01","166.956"
"2017-09-01","162.992"
"2017-10-01","160.353"
"2017-11-01","157.6"
"2017-12-01","153.139"
"2018-01-01","150.191"
"2018-02-01","149.396"
"2018-03-01","138.799"
"2018-04-01","139.152"
"2018-05-01","138.495"
"2018-06-01","140.424"
"2018-07-01","138.181"
"2018-08-01","136.767"
"2018-09-01","124.922"
"2018-10-01","120.498"
"2018-11-01","115.513"
"2018-12-01","116.558"
"2019-01-01","114.314"
"2019-02-01","111.789"
"2019-03-01","110.998"
"2019-04-01","113.008"
"2019-05-01","111.392"
"2019-06-01","106.313"
"2019-07-01","99.265"
"2019-08-01","91.392"
"2019-09-01","89.415"
"2019-10-01","87.495"
"2019-11-01","84.216"
"2019-12-01","87.726"
"2020-01-01",null
"2020-02-01","202.185"
"2020-03-01","201.749"
"2020-04-01","204.259"
"2020-05-01","209.106"
"2020-06-01","203.964"
"2020-07-01","197.959"
"2020-08-01","184.572"
"2020-09-01",null
"2020-10-01",null
"2020-11-01","155.732"
"2020-12-01","165.396"
"2021-01-01","186.559"
"2021-02-01","178.429"
"2021-03-01","180.489"
"2021-04-01","192.773"
"2021-05-01","156.334"
"2021-06-01","82.121"
"2021-07-01","78.402"
"2021-08-01","77.937"
"2021-09-01","76.944"
"2021-10-01","76.337"
"2021-11-01","74.365"
"2021-12-01","69.521"
"2022-01-01","72.648"
"2022-02-01","77.367"
"2022-03-01","74.89"
"2022-04-01","76.621"
"2022-05-01","79.641"
"2022-06-01","83.486"
"2022-07-01","80.318"
"2022-08-01","76.621"
"2022-09-01",null
"2022-10-01",null
"2022-11-01","80.188"
"2022-12-01","77.7"
"2023-01-01","76.047"
"2023-02-01","74.768"
"2023-03-01",null
"2023-04-01","67.94"
"2023-05-01","61.596"
"2023-06-01","75.152"
"2023-07-01","66.628"
