"dtime per week","Average speed (Mbps)"
"2010-12-27",null
"2011-01-03",null
"2011-01-10",null
"2011-01-17",null
"2011-01-24",null
"2011-01-31","3.235"
"2011-02-07","3.277"
"2011-02-14","3.312"
"2011-02-21","3.077"
"2011-02-28","3.057"
"2011-03-07","3.027"
"2011-03-14","2.925"
"2011-03-21","2.918"
"2011-03-28","3.006"
"2011-04-04","2.988"
"2011-04-11","3.021"
"2011-04-18","3.075"
"2011-04-25","3.078"
"2011-05-02","3.106"
"2011-05-09","3.163"
"2011-05-16","3.096"
"2011-05-23","3.128"
"2011-05-30","3.145"
"2011-06-06","3.167"
"2011-06-13","3.211"
"2011-06-20","3.206"
"2011-06-27","3.215"
"2011-07-04","3.207"
"2011-07-11","3.255"
"2011-07-18","3.235"
"2011-07-25","3.24"
"2011-08-01","3.233"
"2011-08-08","3.209"
"2011-08-15","3.229"
"2011-08-22","3.327"
"2011-08-29","3.3"
"2011-09-05","3.299"
"2011-09-12","3.245"
"2011-09-19","3.206"
"2011-09-26","3.175"
"2011-10-03","3.181"
"2011-10-10","3.209"
"2011-10-17","3.213"
"2011-10-24","3.191"
"2011-10-31","3.222"
"2011-11-07","3.238"
"2011-11-14","3.279"
"2011-11-21","3.318"
"2011-11-28","3.372"
"2011-12-05","3.413"
"2011-12-12","3.456"
"2011-12-19","3.493"
"2011-12-26","3.501"
"2012-01-02","3.509"
"2012-01-09","3.497"
"2012-01-16","3.587"
"2012-01-23","3.658"
"2012-01-30","3.607"
"2012-02-06","3.493"
"2012-02-13","3.474"
"2012-02-20","3.518"
"2012-02-27","3.529"
"2012-03-05","3.54"
"2012-03-12","3.921"
"2012-03-19","4.112"
"2012-03-26","4.282"
"2012-04-02","4.358"
"2012-04-09","4.39"
"2012-04-16","4.382"
"2012-04-23","4.412"
"2012-04-30","4.431"
"2012-05-07","4.417"
"2012-05-14","4.448"
"2012-05-21","4.406"
"2012-05-28","4.426"
"2012-06-04","4.437"
"2012-06-11","4.441"
"2012-06-18","4.452"
"2012-06-25","4.475"
"2012-07-02","4.47"
"2012-07-09","4.492"
"2012-07-16","4.529"
"2012-07-23","4.567"
"2012-07-30","4.589"
"2012-08-06","4.782"
"2012-08-13","4.568"
"2012-08-20","4.564"
"2012-08-27","4.58"
"2012-09-03","4.578"
"2012-09-10","4.571"
"2012-09-17","4.6"
"2012-09-24","4.617"
"2012-10-01","4.656"
"2012-10-08","4.666"
"2012-10-15","4.661"
"2012-10-22","4.717"
"2012-10-29","4.519"
"2012-11-05","4.65"
"2012-11-12","4.582"
"2012-11-19","4.579"
"2012-11-26","4.604"
"2012-12-03","4.658"
"2012-12-10","4.608"
"2012-12-17","4.609"
"2012-12-24","4.618"
"2012-12-31","4.808"
"2013-01-07","4.821"
"2013-01-14","4.906"
"2013-01-21","4.817"
"2013-01-28","4.888"
"2013-02-04","4.958"
"2013-02-11","4.964"
"2013-02-18","4.945"
"2013-02-25","5.029"
"2013-03-04","5.232"
"2013-03-11","5.039"
"2013-03-18","5.067"
"2013-03-25","5.167"
"2013-04-01","5.138"
"2013-04-08","5.344"
"2013-04-15","5.404"
"2013-04-22","5.422"
"2013-04-29","5.448"
"2013-05-06","5.43"
"2013-05-13","5.497"
"2013-05-20","5.528"
"2013-05-27","5.485"
"2013-06-03","5.521"
"2013-06-10","5.556"
"2013-06-17","5.542"
"2013-06-24","5.602"
"2013-07-01","5.693"
"2013-07-08","5.753"
"2013-07-15","5.972"
"2013-07-22","6.001"
"2013-07-29","5.998"
"2013-08-05","6.078"
"2013-08-12","6.144"
"2013-08-19","6.199"
"2013-08-26","6.274"
"2013-09-02","6.345"
"2013-09-09","6.353"
"2013-09-16","6.261"
"2013-09-23","6.333"
"2013-09-30","6.36"
"2013-10-07","6.402"
"2013-10-14","6.423"
"2013-10-21","6.492"
"2013-10-28","6.523"
"2013-11-04","6.475"
"2013-11-11","6.528"
"2013-11-18","6.627"
"2013-11-25","6.682"
"2013-12-02","6.654"
"2013-12-09","6.65"
"2013-12-16","6.687"
"2013-12-23","6.701"
"2013-12-30","6.711"
"2014-01-06","6.704"
"2014-01-13","6.736"
"2014-01-20","6.722"
"2014-01-27","6.766"
"2014-02-03","6.747"
"2014-02-10","6.737"
"2014-02-17","6.774"
"2014-02-24","6.673"
"2014-03-03","6.589"
"2014-03-10","6.581"
"2014-03-17","6.645"
"2014-03-24","6.797"
"2014-03-31","6.709"
"2014-04-07","6.655"
"2014-04-14","6.705"
